legacy_va,legacy_name,legacy_namespace,target_rva,target_va,target_name,similarity,significance
0x508b6f,AI_Parts_AddUnitToTeam,Global,0x294c10,0x694c10,FUN_00694c10,0.7864,28.28
0x508bc5,AI_Parts_SubtractPartFromSquad,Global,0x294c90,0x694c90,FUN_00694c90,0.6754,11.08
0x508bc5,AI_Parts_SubtractPartFromSquad,Global,0x326c00,0x726c00,_Destroy,0.5767,9.40
0x508bc5,AI_Parts_SubtractPartFromSquad,Global,0x2cef10,0x6cef10,Decref,0.5828,9.40
0x508bc5,AI_Parts_SubtractPartFromSquad,Global,0x3c30e0,0x7c30e0,FUN_007c30e0,0.5767,9.40
0x508bc5,AI_Parts_SubtractPartFromSquad,Global,0x198930,0x598930,FUN_00598930,0.5767,9.40
0x508bf9,AI_Parts_SubtractUnitFromTeam,Global,0x294c10,0x694c10,FUN_00694c10,0.9881,37.86
0x508bf9,AI_Parts_SubtractUnitFromTeam,Global,0x294ba0,0x694ba0,FUN_00694ba0,0.7859,28.54
0x5082a1,AI_Process,Global,0x28f970,0x68f970,FUN_0068f970,0.6552,34.97
0x50770a,AI_SpecialForcesInit,Global,0x290180,0x690180,FUN_00690180,1.0000,17.62
0x50770a,AI_SpecialForcesInit,Global,0x290270,0x690270,FUN_00690270,0.7269,12.75
0x50770a,AI_SpecialForcesInit,Global,0x1c5a10,0x5c5a10,FUN_005c5a10,0.5376,8.97
0x50770a,AI_SpecialForcesInit,Global,0x1d4ee0,0x5d4ee0,FUN_005d4ee0,0.5376,8.97
0x50770a,AI_SpecialForcesInit,Global,0xdfbb0,0x4dfbb0,FUN_004dfbb0,0.5376,8.97
0x5075a4,AI_SpentCreditRefund,Global,0x290020,0x690020,FUN_00690020,0.8530,69.51
0x50750d,AI_SpentCreditRemove,Global,0x28ffb0,0x68ffb0,FUN_0068ffb0,0.6747,31.23
0x508577,AI_SpentCreditSpend,Global,0x28ff30,0x68ff30,FUN_0068ff30,0.6708,29.87
0x508dbe,AI_Team_Assign_AIP,Global,0x295560,0x695560,FUN_00695560,0.5387,13.21
0x50a9e9,AI_Team_Compute_Mapgrid,Global,0x295ff0,0x695ff0,FUN_00695ff0,1.0000,21.27
0x50a66c,AI_Team_Delete,Global,0x295340,0x695340,FUN_00695340,0.6049,46.62
0x50a19d,AI_Team_End_Rapid_Base_Defense,Global,0x296e40,0x696e40,FUN_00696e40,0.9123,59.70
0x50a8cf,AI_Team_Find_Houses,Global,0x295830,0x695830,FUN_00695830,0.9162,95.79
0x50a79f,AI_Team_Find_Units,Global,0x2955e0,0x6955e0,FUN_006955e0,0.9475,100.28
0x508c6c,AI_Team_Initialize_Regions_Of_Control,Global,0x294fc0,0x694fc0,FUN_00694fc0,0.5659,39.30
0x5176d0,AI_Team_Print_Goals,Global,0x2a3300,0x6a3300,FUN_006a3300,0.5660,42.97
0x509fbd,AI_Team_Recruit_Neighbors,Global,0x296b60,0x696b60,FUN_00696b60,1.0000,16.59
0x509f40,AI_Team_Recruit_Single_Neighbor,Global,0x296a70,0x696a70,FUN_00696a70,0.8514,63.08
0x508e81,AI_Team_Relax_Two_Cells,Global,0x295a70,0x695a70,FUN_00695a70,0.6666,27.62
0x508d48,AI_Team_Trash_Regions_Of_Control,Global,0x295130,0x695130,FUN_00695130,1.0000,21.15
0x50a212,AI_Team_Trigger_Rapid_Base_Defense,Global,0x296f00,0x696f00,FUN_00696f00,0.6750,113.27
0x50a0dd,AI_Team_UnRecruit_Neighbors,Global,0x296d10,0x696d10,FUN_00696d10,1.0000,52.23
0x50a093,AI_Team_UnRecruit_Single_Neighbor,Global,0x296c90,0x696c90,FUN_00696c90,0.9784,42.79
0x5091a9,AI_Team_Update_Scouted,Global,0x296080,0x696080,FUN_00696080,0.8089,78.98
0x50924c,AI_Team_Update_Squads,Global,0x296170,0x696170,FUN_00696170,0.6214,66.52
0x50aa33,AI_Team_Update_Team_Strategy,Global,0x296380,0x696380,FUN_00696380,0.6817,81.94
0x50839c,AI_UnitAdd,Global,0x28fac0,0x68fac0,FUN_0068fac0,0.8276,28.97
0x50839c,AI_UnitAdd,Global,0x28fe40,0x68fe40,FUN_0068fe40,0.5512,16.37
0x507277,AI_UnitAppeared,Global,0x28fb10,0x68fb10,FUN_0068fb10,0.5968,36.38
0x5083d9,AI_UnitRemove,Global,0x28fc60,0x68fc60,FUN_0068fc60,0.7090,61.96
0x5083d9,AI_UnitRemove,Global,0x28fb10,0x68fb10,FUN_0068fb10,0.5019,31.75
0x507689,AI_UnspentCreditAdd,Global,0x290120,0x690120,FUN_00690120,0.5670,10.76
0x5076a2,AI_UnspentCreditRemove,Global,0x290150,0x690150,FUN_00690150,0.6358,11.55
0x5076a2,AI_UnspentCreditRemove,Global,0x2a3840,0x6a3840,FUN_006a3840,0.6358,11.55
0x5076a2,AI_UnspentCreditRemove,Global,0x2a6270,0x6a6270,FUN_006a6270,0.6358,11.55
0x5076a2,AI_UnspentCreditRemove,Global,0x2a62b0,0x6a62b0,FUN_006a62b0,0.6358,11.55
0x5076e5,AI_UnspentCredits,Global,0x28fa60,0x68fa60,FUN_0068fa60,0.5413,12.69
0x4dc534,ALLIE_Init,Global,0x6cc80,0x46cc80,FUN_0046cc80,0.7020,11.06
0x4dc38c,ALLIE_InputMessage,Global,0x6cd10,0x46cd10,FUN_0046cd10,0.6601,23.25
0x40b969,AOI,AOI,0x6f190,0x46f190,FUN_0046f190,0.7019,18.65
0x40b969,AOI,AOI,0x407150,0x807150,FUN_00807150,0.5094,7.44
0x40b7ca,GetForces,AOI,0x6f600,0x46f600,FUN_0046f600,1.0000,18.89
0x40b7a4,GetValues,AOI,0x6f5c0,0x46f5c0,FUN_0046f5c0,0.5269,13.17
0x40b7a4,GetValues,AOI,0x6f600,0x46f600,FUN_0046f600,0.5532,9.98
0x40af31,Init,AOI,0x2f69d0,0x6f69d0,FUN_006f69d0,0.5190,14.76
0x40afdc,Load,AOI,0x6f840,0x46f840,FUN_0046f840,0.9427,50.09
0x40afdc,Load,AOI,0x1b4b80,0x5b4b80,FUN_005b4b80,0.5352,24.19
0x40afdc,Load,AOI,0x1b4e50,0x5b4e50,FUN_005b4e50,0.5352,24.19
0x40b075,Save,AOI,0x6f940,0x46f940,FUN_0046f940,0.9427,50.09
0x40b075,Save,AOI,0x5c2a0,0x45c2a0,FUN_0045c2a0,0.7023,30.79
0x40b075,Save,AOI,0xcdb40,0x4cdb40,FUN_004cdb40,0.5792,28.39
0x40b075,Save,AOI,0x1b4f40,0x5b4f40,FUN_005b4f40,0.5850,27.01
0x40bab1,`scalar_deleting_destructor',AOI,0x404f30,0x804f30,FUN_00804f30,0.6490,12.30
0x40bab1,`scalar_deleting_destructor',AOI,0x10d030,0x50d030,FUN_0050d030,0.6490,12.30
0x40bab1,`scalar_deleting_destructor',AOI,0x41bae0,0x81bae0,FUN_0081bae0,0.6490,12.30
0x40bab1,`scalar_deleting_destructor',AOI,0x30270,0x430270,FUN_00430270,0.6490,12.30
0x40bab1,`scalar_deleting_destructor',AOI,0x8e920,0x48e920,FUN_0048e920,0.6490,12.30
0x47daf5,APC,APC,0x6fcf0,0x46fcf0,FUN_0046fcf0,0.7279,16.03
0x47daf5,APC,APC,0x1c1d90,0x5c1d90,FUN_005c1d90,0.7096,14.77
0x47daf5,APC,APC,0x25ff70,0x65ff70,FUN_0065ff70,0.6641,13.74
0x47daf5,APC,APC,0xd2350,0x4d2350,FUN_004d2350,0.5307,10.78
0x47daf5,APC,APC,0x79ba0,0x479ba0,FUN_00479ba0,0.5307,10.78
0x47db61,Cleanup,APC,0xdb780,0x4db780,FUN_004db780,0.6775,18.66
0x47db61,Cleanup,APC,0x198340,0x598340,FUN_00598340,0.5011,10.64
0x47db61,Cleanup,APC,0x201200,0x601200,FUN_00601200,0.5011,10.64
0x47dc12,FullSoldiers,APC,0x6ff40,0x46ff40,FUN_0046ff40,1.0000,17.84
0x47dc2c,GetAmmoGauge,APC,0x6ff80,0x46ff80,FUN_0046ff80,0.8167,14.84
0x47dc2c,GetAmmoGauge,APC,0x1c1d60,0x5c1d60,FUN_005c1d60,0.5943,10.44
0x47def4,GetCommand,APC,0x70d10,0x470d10,FUN_00470d10,0.6940,65.89
0x47def4,GetCommand,APC,0x1aeb30,0x5aeb30,FUN_005aeb30,0.6802,64.36
0x47def4,GetCommand,APC,0x1c20c0,0x5c20c0,FUN_005c20c0,0.6541,60.37
0x47def4,GetCommand,APC,0x1f5d10,0x5f5d10,FUN_005f5d10,0.6679,59.56
0x47def4,GetCommand,APC,0xf0dd0,0x4f0dd0,FUN_004f0dd0,0.5786,55.77
0x47db5c,Init,APC,0xa7fc0,0x4a7fc0,FUN_004a7fc0,0.5891,11.07
0x47db5c,Init,APC,0x421ec0,0x821ec0,FUN_00821ec0,0.5499,8.87
0x47db66,Load,APC,0xa73a0,0x4a73a0,FUN_004a73a0,0.7767,22.18
0x47db66,Load,APC,0x78040,0x478040,FUN_00478040,0.5371,16.49
