redux_va,applied_name,namespace,combined_confidence,similarity,significance,legacy_va,status
0x5f1dd0,TurretCraftClass,TurretCraftClass,very_high,0.7609,16.17,0x4b48e8,applied
0x5f2130,FindTurret,TurretTank,very_high,0.5777,33.62,0x4b4a8f,applied
0x608fe0,Save,UserProcess,very_high,0.6644,24.55,0x46f80a,applied
0x610030,WalkerClass,WalkerClass,very_high,0.8633,27.15,0x4b8a04,applied
0x611aa0,WeaponClass,WeaponClass,very_high,0.5864,74.69,0x53f402,applied
0x61df70,load_input_device,Global,very_high,0.5314,61.82,0x4bb425,applied
0x61e240,get_analog_num,Global,very_high,0.5993,39.62,0x4bb5bb,applied
0x61e5d0,get_analog_sink,Global,very_high,0.7256,163.96,0x4ba032,applied
0x61ea90,add_analog_channel,Global,very_high,0.5662,57.04,0x4bb703,applied
0x61ec80,read_chord,Global,very_high,0.5203,41.85,0x4bb811,applied
0x61fb20,read_one_mapping_file,Global,very_high,0.7716,157.68,0x4bba7c,applied
0x623620,GetStringFromRegistry,Global,very_high,0.8851,61.34,0x4bc269,applied
0x6239a0,giddi_describe_device,Global,very_high,1.0000,23.14,0x4bd878,applied
0x624380,Chat_InputMessage,Global,very_high,0.6031,42.26,0x4dc5ab,applied
0x625070,updown_callback,Global,high,1.0000,71.75,0x4dce65,applied
0x625160,GetUnsignedFromBitfield,Global,high,1.0000,52.13,0x4e2dc6,applied
0x68f8f0,AI_Close,Global,very_high,0.9228,31.33,0x507196,applied
0x68f970,AI_Process,Global,very_high,0.6552,34.97,0x5082a1,applied
0x68fe40,AI_BuildingStalled,Global,very_high,0.9116,44.01,0x5084fc,applied
0x690180,AI_SpecialForcesInit,Global,very_high,1.0000,17.62,0x50770a,applied
0x690270,AI_AIPInit,Global,very_high,1.0000,18.91,0x5086bc,applied
0x690380,AI_AIPSwitch,Global,very_high,0.7372,13.45,0x507d10,applied
0x690c90,AIBuild_ResourceListDump,Global,very_high,0.7284,22.05,0x50b1e9,applied
0x6924a0,AIBuild_FindFacilityLocation,Global,very_high,0.6008,38.12,0x50becb,applied
0x693520,AIP_Load_Account,Global,very_high,0.5040,52.44,0x50d0f4,applied
0x693900,AIP_Load_UCP,Global,very_high,0.5862,40.19,0x50d37a,applied
0x696c90,AI_Team_UnRecruit_Single_Neighbor,Global,high,0.9784,42.79,0x50a093,applied
0x696d10,AI_Team_UnRecruit_Neighbors,Global,high,1.0000,52.23,0x50a0dd,applied
0x6987d0,parentheses,Global,very_high,0.6521,54.22,0x50f4f4,applied
0x6989a0,constant_or_variable,Global,very_high,0.5655,42.65,0x50ee1f,applied
0x699180,IParse_Report,Global,very_high,0.8940,21.95,0x510d75,applied
0x69c1e0,IParse_Read_Data_Into_Buffer,Global,very_high,0.5042,48.55,0x5124fe,applied
0x69cc40,IParse_Get_Runtime_Float,Global,very_high,0.5445,21.56,0x512aa6,applied
0x69cef0,IParse_Get_Runtime_Float_Field,Global,very_high,0.6370,18.12,0x512d38,applied
0x69cfa0,IParse_Get_Runtime_String_Field,Global,very_high,0.8379,36.68,0x512e17,applied
0x6a3300,AI_Team_Print_Goals,Global,very_high,0.5660,42.97,0x5176d0,applied
0x821ec0,fsm_pop_camera,Global,very_high,1.0000,19.00,0x56d7fa,applied
0x825510,GetClsnPlanes,Global,high,0.9604,42.13,0x525849,applied
0x825650,NewObj,Global,very_high,0.9231,116.60,0x52594e,applied
0x825ac0,Process_VLOC_Chunk,Global,very_high,0.7123,75.42,0x526cbe,applied
0x826b80,find_obj_prjid,Global,high,1.0000,44.34,0x527169,applied
0x826c40,zfsCreateFile,Global,very_high,0.9107,53.66,0x5278b3,applied
0x827030,buildcookie,Global,very_high,0.7026,56.14,0x527b23,applied
0x8271b0,zfsOpen,Global,very_high,0.5542,38.11,0x527c46,applied
0x8273e0,zfsReadRecordInternal,Global,very_high,0.6626,68.47,0x5283b6,applied
0x82b690,adjuststack,Global,high,0.9957,58.24,0x5b6f8f,applied
0x82b87b,luaL_addvalue,Global,high,0.9938,47.12,0x5b7086,applied
0x82b9f2,luaL_checkany,Global,very_high,1.0000,18.59,0x5b7679,applied
0x82bc6c,luaL_findtable,Global,high,1.0000,83.96,0x5b6e91,applied
0x82be9b,luaL_loadfile,Global,very_high,0.8651,112.76,0x5b728c,applied
0x82c0d6,luaL_openlib,Global,very_high,0.9835,98.17,0x5b77f7,applied
0x82c225,luaL_optlstring,Global,high,1.0000,47.47,0x5b76d3,applied
0x82c341,luaL_where,Global,very_high,0.7952,23.65,0x5b6cbd,applied
0x82c3b7,panic,Global,very_high,1.0000,17.44,0x5b74a1,applied
0x82c5be,lua_checkstack,Global,high,0.9962,54.07,0x5b5c40,applied
0x82c61c,lua_concat,Global,high,1.0000,54.77,0x5b6adc,applied
0x82c70b,lua_gc,Global,high,1.0000,78.51,0x5b69d5,applied
0x82c7d3,lua_getfenv,Global,high,1.0000,58.34,0x5b658f,applied
0x82cb8c,lua_pcall,Global,high,0.9660,45.87,0x5b6874,applied
0x82cc15,lua_pushcclosure,Global,high,1.0000,82.71,0x5b6345,applied
0x82ced4,lua_rawset,Global,high,1.0000,58.14,0x5b6669,applied
0x82cf37,lua_rawseti,Global,high,1.0000,57.95,0x5b66cb,applied
0x82cf99,lua_remove,Global,high,1.0000,48.39,0x5b5d86,applied
0x82cfd8,lua_replace,Global,very_high,0.9987,96.12,0x5b5e0d,applied
0x82d08e,lua_setfenv,Global,high,1.0000,69.05,0x5b67b8,applied
0x82d16f,lua_setmetatable,Global,high,0.9646,88.99,0x5b672f,applied
0x82d226,lua_settop,Global,high,1.0000,42.91,0x5b5d4d,applied
0x82d377,lua_tolstring,Global,high,1.0000,66.90,0x5b60fa,applied
0x82d4b1,lua_typename,Global,very_high,1.0000,18.06,0x5b5f03,applied
0x82d4cc,lua_xmove,Global,high,1.0000,52.38,0x5b5c9d,applied
0x82d5cb,f_luaopen,Global,very_high,1.0000,46.38,0x5b7b34,applied
0x82d9b5,checkArgMode,Global,high,1.0000,60.21,0x5b9f36,applied
0x82da0c,collectvalidlines,Global,high,1.0000,71.55,0x5b9e2e,applied
0x82dad3,currentpc,Global,high,1.0000,45.42,0x5b9b90,applied
0x82db70,funcinfo,Global,high,0.9711,42.36,0x5b9d95,applied
0x82dc7a,getobjname,Global,very_high,0.7117,73.18,0x5ba43d,applied
0x82dde7,luaG_aritherror,Global,very_high,0.7235,15.24,0x5ba8e5,applied
0x82de60,luaG_concaterror,Global,very_high,0.9551,19.31,0x5ba8bd,applied
0x82df0d,luaG_ordererror,Global,very_high,0.8896,30.14,0x5ba916,applied
0x82dfec,luaG_typeerror,Global,very_high,0.6680,28.55,0x5ba845,applied
0x82e741,luaO_chunkid,Global,high,0.9777,206.22,0x5b8181,applied
0x82e87e,luaO_int2fb,Global,very_high,1.0000,34.61,0x5b7e3e,applied
0x82e8e4,luaO_pushvfstring,Global,very_high,0.5856,87.02,0x5b7faa,applied
0x82ebda,pushstr,Global,high,1.0000,45.25,0x5b7f64,applied
0x82ecad,luaZ_openspace,Global,high,0.9848,41.74,0x5bd2cd,applied
0x82ecf4,luaZ_read,Global,high,1.0000,54.33,0x5bd283,applied
0x82ed3d,adjust_varargs,Global,high,0.9720,165.92,0x5b855f,applied
0x82ee9e,callrethooks,Global,high,1.0000,45.30,0x5b872f,applied
0x82f01b,growCI,Global,very_high,0.7642,25.43,0x5b89e0,applied
0x82f062,luaD_call,Global,very_high,0.9044,55.63,0x5b8bb4,applied
0x82f1b5,luaD_pcall,Global,high,1.0000,51.04,0x5b8d2c,applied
0x82f246,luaD_poscall,Global,high,1.0000,84.88,0x5b877c,applied
0x82f536,luaD_reallocCI,Global,high,1.0000,46.89,0x5b8425,applied
0x82f5f3,luaD_seterrorobj,Global,very_high,1.0000,48.45,0x5b829f,applied
0x82f6a3,lua_resume,Global,very_high,0.8313,58.83,0x5b8c9a,applied
0x82f739,lua_yield,Global,very_high,0.7759,20.72,0x5b884a,applied
0x82f7e4,resume,Global,high,1.0000,58.18,0x5b8c2e,applied
0x82f852,resume_error,Global,high,1.0000,48.26,0x5b87fc,applied
0x82f92f,luaF_close,Global,high,0.9752,61.24,0x5bd037,applied
0x82f9ac,luaF_findupval,Global,high,0.9694,83.22,0x5bcf72,applied
0x82fc7c,GCTM,Global,high,1.0000,94.93,0x5b967c,applied
0x82fe33,checkSizes,Global,high,0.9861,57.83,0x5b961b,applied
0x82ff43,freeobj,Global,high,1.0000,53.10,0x5b952f,applied
0x82ffca,iscleared,Global,high,0.9814,42.66,0x5b9461,applied
0x83018d,luaC_separateudata,Global,high,0.9915,96.37,0x5b8ee5,applied
0x830222,luaC_step,Global,high,1.0000,70.93,0x5b99f9,applied
0x830437,reallymarkobject,Global,high,1.0000,109.37,0x5b8e1b,applied
0x8305c7,sweeplist,Global,high,0.9776,73.41,0x5b959a,applied
0x830650,traverseclosure,Global,high,1.0000,120.12,0x5b91b6,applied
0x830af4,luaS_resize,Global,high,0.9510,97.11,0x5bcc7c,applied
0x830cca,findindex,Global,very_high,0.8885,70.30,0x5bc241,applied
0x830de6,luaH_get,Global,high,1.0000,62.36,0x5bc701,applied
0x831635,setnodevector,Global,very_high,0.9433,82.29,0x5bc50a,applied
0x831798,DumpConstants,Global,high,0.9631,77.88,0x5bd3d0,applied
0x831bea,callTM,Global,high,1.0000,51.04,0x5babfe,applied
0x831e54,l_strcmp,Global,high,1.0000,68.52,0x5bafa0,applied
0x831f3a,luaV_concat,Global,very_high,0.9970,184.26,0x5bb176,applied
0x832183,luaV_execute,Global,very_high,0.6170,585.68,0x5bb3ae,applied
0x8330e3,luaV_gettable,Global,very_high,0.9835,98.34,0x5bac91,applied
0x83321b,luaV_settable,Global,very_high,0.9551,121.87,0x5bad5c,applied
0x833372,luaV_tostring,Global,very_high,0.8685,34.27,0x5baa64,applied
0x8333ea,traceexec,Global,high,0.9636,85.65,0x5baad6,applied
0x8334ee,luaT_init,Global,high,0.9784,50.46,0x5ba964,applied
0x83353f,luaB_print,Global,very_high,1.0000,65.25,0x5c254e,applied
0x833742,luaB_getmetatable,Global,very_high,1.0000,22.75,0x5c2749,applied
0x833783,luaB_setmetatable,Global,very_high,1.0000,37.69,0x5c2783,applied
0x833834,luaB_setfenv,Global,very_high,0.7362,35.79,0x5c28e7,applied
0x833997,luaB_collectgarbage,Global,very_high,0.8610,47.17,0x5c2a28,applied
0x833b12,luaB_load,Global,very_high,1.0000,19.99,0x5c2caf,applied
0x833bee,luaB_unpack,Global,very_high,0.7771,50.29,0x5c2d82,applied
0x833c96,luaB_select,Global,very_high,1.0000,61.08,0x5c2e0e,applied
0x833e63,luaB_costatus,Global,very_high,0.6474,17.69,0x5c30ef,applied
0x833eac,luaB_coresume,Global,very_high,0.6823,29.09,0x5c31e3,applied
0x833f22,luaB_cocreate,Global,very_high,1.0000,31.33,0x5c32b4,applied
0x834002,auxresume,Global,very_high,0.9363,61.14,0x5c3131,applied
0x8340bc,base_open,Global,very_high,1.0000,27.04,0x5c338b,applied
0x8341f5,generic_reader,Global,very_high,0.7714,30.23,0x5c2c3b,applied
0x83426a,getfunc,Global,very_high,0.7783,45.67,0x5c27f3,applied
0x834433,luaB_newproxy,Global,very_high,1.0000,56.00,0x5c2fcf,applied
0x83472f,tinsert,Global,very_high,0.6653,38.66,0x5c1426,applied
0x8347bd,tremove,Global,high,1.0000,46.18,0x5c14b4,applied
0x834984,addfield,Global,very_high,0.6765,17.63,0x5c1538,applied
0x8349d5,auxsort,Global,very_high,0.5498,76.89,0x5c16d9,applied
0x8350ac,str_char,Global,very_high,0.9268,50.03,0x5bfee1,applied
0x83515d,str_dump,Global,very_high,0.8521,24.64,0x5bffa3,applied
0x83524f,str_gsub,Global,very_high,0.8428,106.13,0x5c0b9d,applied
0x83574a,add_value,Global,very_high,0.8298,59.32,0x5c0ac0,applied
0x835822,addquoted,Global,high,1.0000,99.68,0x5c0d4a,applied
0x8358d9,classend,Global,very_high,0.9095,64.99,0x5c0064,applied
0x835942,end_capture,Global,very_high,0.9838,65.31,0x5c035f,applied
0x835aeb,luaopen_string,Global,very_high,1.0000,24.01,0x5c11d9,applied
0x835b72,match,Global,very_high,0.5604,116.07,0x5c03f7,applied
