api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
SetUserTarget,0x5d1788,0x5d1f98,0x417134,0x17134,SetUserTarget,true
GetUserTarget,0x5d1778,0x5d1fa0,0x41714b,0x1714b,GetUserTarget,true
SetTarget,0x5d176c,0x5d1fa8,0x417160,0x17160,SetTarget,true
GetTarget,0x5d1760,0x5d1fb0,0x417187,0x17187,GetTarget,true
SetOwner,0x5d1754,0x5d1fb8,0x4171a9,0x171a9,SetOwner,true
GetOwner,0x5d1748,0x5d1fc0,0x4171d0,0x171d0,GetOwner,true
SetPilotClass,0x5d1738,0x5d1fc8,0x4171f2,0x171f2,SetPilotClass,true
GetPilotClass,0x5d1728,0x5d1fd0,0x41ba93,0x1ba93,GetPilotClass,true
SetPosition,0x5d1600,0x5d2060,0x41bee5,0x1bee5,SetPosition,true
GetPosition,0x5d15f4,0x5d2068,0x417548,0x17548,GetPosition,true
GetFront,0x5d15e8,0x5d2070,0x417620,0x17620,GetFront,true
SetTransform,0x5d161c,0x5d2050,0x41751b,0x1751b,SetTransform,true
GetTransform,0x5d160c,0x5d2058,0x4174d6,0x174d6,GetTransform,true
GetVelocity,0x5d15d0,0x5d2080,0x41765e,0x1765e,GetVelocity,true
SetVelocity,0x5d15dc,0x5d2078,0x41769c,0x1769c,SetVelocity,true
GetOmega,0x5d15b8,0x5d2090,0x4176c9,0x176c9,GetOmega,true
SetOmega,0x5d15c4,0x5d2088,0x417707,0x17707,SetOmega,true
GetCircularPos,0x5d15a8,0x5d2098,0x41774e,0x1774e,GetCircularPos,true
GetPositionNear,0x5d1598,0x5d20a0,0x4177c8,0x177c8,GetPositionNear,true
GetWhoShotMe,0x5d1588,0x5d20a8,0x417842,0x17842,GetWhoShotMe,true
GetLastEnemyShot,0x5d1574,0x5d20b0,0x417864,0x17864,GetLastEnemyShot,true
GetLastFriendShot,0x5d1560,0x5d20b8,0x417889,0x17889,GetLastFriendShot,true
DefaultAllies,0x5d1550,0x5d20c0,0x4178ae,0x178ae,DefaultAllies,true
LockAllies,0x5d1544,0x5d20c8,0x4178b6,0x178b6,LockAllies,true
Ally,0x5d153c,0x5d20d0,0x4178d5,0x178d5,Ally,true
UnAlly,0x5d1534,0x5d20d8,0x417916,0x17916,UnAlly,true
IsTeamAllied,0x5d1524,0x5d20e0,0x417957,0x17957,IsTeamAllied,true
