redux_va,applied_name,namespace,api_name,source_tag,legacy_va,status
0x5008e0,GetPilotClass,LuaAPI,GetPilotClass,regtable+1.5,0x41ba93,applied
0x500940,SetVector,LuaAPI,SetVector,regtable+1.5,0x41bace,applied
0x500a30,DotProduct,LuaAPI,DotProduct,regtable+1.5,0x41bb2e,applied
0x500a80,CrossProduct,LuaAPI,CrossProduct,regtable+1.5,0x41bb6f,applied
0x500b10,Normalize,LuaAPI,Normalize,regtable+1.5,0x41bbba,applied
0x500b90,Length,LuaAPI,Length,regtable+1.5,0x41bbf8,applied
0x500be0,LengthSquared,LuaAPI,LengthSquared,regtable+1.5,0x41bc28,applied
0x500c20,Distance2D,LuaAPI,Distance2D,regtable+1.5,0x41bc5e,applied
0x500c80,Distance2DSquared,LuaAPI,Distance2DSquared,regtable+1.5,0x41bca1,applied
0x500cd0,Distance3D,LuaAPI,Distance3D,regtable+1.5,0x41bce2,applied
0x500d50,Distance3DSquared,LuaAPI,Distance3DSquared,regtable+1.5,0x41bd2c,applied
0x500dd0,SetMatrix,LuaAPI,SetMatrix,regtable+1.5,0x41bd76,applied
0x5010f0,BuildAxisRotationMatrix,LuaAPI,BuildAxisRotationMatrix,regtable+1.5,0x41721b,applied
0x501240,BuildPositionRotationMatrix,LuaAPI,BuildPositionRotationMatrix,regtable+1.5,0x41730f,applied
0x5013f0,BuildOrthogonalMatrix,LuaAPI,BuildOrthogonalMatrix,regtable+1.5,0x417408,applied
0x5014a0,BuildDirectionalMatrix,LuaAPI,BuildDirectionalMatrix,regtable+1.5,0x41746f,applied
0x501550,GetTransform,LuaAPI,GetTransform,regtable+1.5,0x4174d6,applied
0x5015d0,SetTransform,LuaAPI,SetTransform,regtable+1.5,0x41751b,applied
0x501620,GetPosition,LuaAPI,GetPosition,regtable+1.5,0x417548,applied
0x501710,SetPosition,LuaAPI,SetPosition,regtable+1.5,0x41bee5,applied
0x501800,GetFront,LuaAPI,GetFront,regtable+1.5,0x417620,applied
0x501880,GetVelocity,LuaAPI,GetVelocity,regtable+1.5,0x41765e,applied
0x501900,SetVelocity,LuaAPI,SetVelocity,regtable+1.5,0x41769c,applied
0x501950,GetOmega,LuaAPI,GetOmega,regtable+1.5,0x4176c9,applied
0x5019d0,SetOmega,LuaAPI,SetOmega,regtable+1.5,0x417707,applied
0x501a20,GetCircularPos,LuaAPI,GetCircularPos,regtable+1.5,0x41774e,applied
0x501b00,GetPositionNear,LuaAPI,GetPositionNear,regtable+1.5,0x4177c8,applied
0x501be0,GetWhoShotMe,LuaAPI,GetWhoShotMe,regtable+1.5,0x417842,applied
0x501c20,GetLastEnemyShot,LuaAPI,GetLastEnemyShot,regtable+1.5,0x417864,applied
0x501c60,GetLastFriendShot,LuaAPI,GetLastFriendShot,regtable+1.5,0x417889,applied
0x501ca0,DefaultAllies,LuaAPI,DefaultAllies,regtable+1.5,0x4178ae,applied
0x501cb0,LockAllies,LuaAPI,LockAllies,regtable+1.5,0x4178b6,applied
0x501cf0,Ally,LuaAPI,Ally,regtable+1.5,0x4178d5,applied
0x501d30,UnAlly,LuaAPI,UnAlly,regtable+1.5,0x417916,applied
0x501d70,IsTeamAllied,LuaAPI,IsTeamAllied,regtable+1.5,0x417957,applied
0x501dd0,IsAlly,LuaAPI,IsAlly,regtable+1.5,0x4179a2,applied
0x501e30,SetObjectiveOn,LuaAPI,SetObjectiveOn,regtable+1.5,0x417a3d,applied
0x501e60,SetObjectiveOff,LuaAPI,SetObjectiveOff,regtable+1.5,0x417a54,applied
0x501e90,SetObjectiveName,LuaAPI,SetObjectiveName,regtable+1.5,0x417a6b,applied
0x501ed0,GetObjectiveName,LuaAPI,GetObjectiveName,regtable+1.5,0x417a94,applied
0x501f20,GetTime,LuaAPI,GetTime,regtable+1.5,0x417abf,applied
0x501f50,GetTimeNow,LuaAPI,GetTimeNow,regtable+1.5,0x417ad9,applied
0x501f90,GetTimeStep,LuaAPI,GetTimeStep,regtable+1.5,0x417b04,applied
0x501fc0,GetDistance,LuaAPI,GetDistance,regtable+1.5,0x417b1e,applied
0x502100,IsWithin,LuaAPI,IsWithin,regtable+1.5,0x417bda,applied
0x502240,AllObjects,LuaAPI,AllObjects,regtable+1.5,0x41cd24,applied
0x502330,AllCraft,LuaAPI,AllCraft,regtable+1.5,0x41cdbc,applied
0x502490,ObjectsInRange,LuaAPI,ObjectsInRange,regtable+1.5,0x41ceb0,applied
0x502730,SelectedObjects,LuaAPI,SelectedObjects,regtable+1.5,0x41bfe2,applied
0x502810,ObjectiveObjects,LuaAPI,ObjectiveObjects,regtable+1.5,0x41c06f,applied
0x502840,GetNearestObject,LuaAPI,GetNearestObject,regtable+1.5,0x417c45,applied
0x502960,GetNearestVehicle,LuaAPI,GetNearestVehicle,regtable+1.5,0x417cea,applied
0x502a80,GetNearestBuilding,LuaAPI,GetNearestBuilding,regtable+1.5,0x417d8f,applied
0x502ba0,GetNearestEnemy,LuaAPI,GetNearestEnemy,regtable+1.5,0x417e34,applied
0x502cc0,GetNearestFriend,LuaAPI,GetNearestFriend,regtable_reduxonly,,applied
0x502de0,CountUnitsNearObject,LuaAPI,CountUnitsNearObject,regtable+1.5,0x417ed9,applied
0x502e70,GetRidOfSomeScrap,LuaAPI,GetRidOfSomeScrap,regtable+1.5,0x417f34,applied
0x502ea0,ClearScrapAround,LuaAPI,ClearScrapAround,regtable+1.5,0x417f50,applied
0x502fe0,AddPilot,LuaAPI,AddPilot,regtable+1.5,0x418007,applied
0x503030,SetPilot,LuaAPI,SetPilot,regtable+1.5,0x418036,applied
0x503080,GetPilot,LuaAPI,GetPilot,regtable+1.5,0x418065,applied
0x5030c0,AddMaxPilot,LuaAPI,AddMaxPilot,regtable+1.5,0x418087,applied
0x503110,SetMaxPilot,LuaAPI,SetMaxPilot,regtable+1.5,0x4180b6,applied
0x503160,GetMaxPilot,LuaAPI,GetMaxPilot,regtable+1.5,0x4180e5,applied
0x5031a0,AddScrap,LuaAPI,AddScrap,regtable+1.5,0x418107,applied
0x5031f0,SetScrap,LuaAPI,SetScrap,regtable+1.5,0x418136,applied
0x503240,GetScrap,LuaAPI,GetScrap,regtable+1.5,0x418165,applied
0x503280,AddMaxScrap,LuaAPI,AddMaxScrap,regtable+1.5,0x418187,applied
0x5032d0,SetMaxScrap,LuaAPI,SetMaxScrap,regtable+1.5,0x4181b6,applied
0x503320,GetMaxScrap,LuaAPI,GetMaxScrap,regtable+1.5,0x4181e5,applied
0x503360,IsDeployed,LuaAPI,IsDeployed,regtable+1.5,0x418207,applied
0x5033a0,Deploy,LuaAPI,Deploy,regtable+1.5,0x41822c,applied
0x5033d0,IsSelected,LuaAPI,IsSelected,regtable+1.5,0x418243,applied
0x503410,IsCritical,LuaAPI,IsCritical,regtable_reduxonly,,applied
0x503450,SetCritical,LuaAPI,SetCritical,regtable_reduxonly,,applied
0x5034e0,SetWeaponMask,LuaAPI,SetWeaponMask,regtable+1.5,0x418268,applied
0x503520,GiveWeapon,LuaAPI,GiveWeapon,regtable+1.5,0x41828f,applied
0x5035c0,FireAt,LuaAPI,FireAt,regtable+1.5,0x4182f1,applied
0x503600,Damage,LuaAPI,Damage,regtable+1.5,0x418318,applied
0x503650,SetAIControl,LuaAPI,SetAIControl,regtable+1.5,0x41833f,applied
0x5036c0,GetAIControl,LuaAPI,GetAIControl,regtable_reduxonly,,applied
0x503700,SetAIP,LuaAPI,SetAIP,regtable+1.5,0x418383,applied
0x503750,GetAIP,LuaAPI,GetAIP,regtable+1.5,0x4183ae,applied
0x5037a0,FailMission,LuaAPI,FailMission,regtable+1.5,0x4183db,applied
0x5037f0,SucceedMission,LuaAPI,SucceedMission,regtable+1.5,0x418410,applied
0x503920,ClearObjectives,LuaAPI,ClearObjectives,regtable+1.5,0x418445,applied
0x503a40,AddObjective,LuaAPI,AddObjective,regtable+1.5,0x4184fb,applied
0x503ae0,UpdateObjective,LuaAPI,UpdateObjective,regtable+1.5,0x41854f,applied
0x503b80,RemoveObjective,LuaAPI,RemoveObjective,regtable+1.5,0x4185a3,applied
0x503bb0,StartCockpitTimer,LuaAPI,StartCockpitTimer,regtable+1.5,0x4185c1,applied
0x503c10,StartCockpitTimerUp,LuaAPI,StartCockpitTimerUp,regtable+1.5,0x4185fe,applied
0x503c70,StopCockpitTimer,LuaAPI,StopCockpitTimer,regtable+1.5,0x41863b,applied
0x503c80,HideCockpitTimer,LuaAPI,HideCockpitTimer,regtable+1.5,0x418645,applied
0x503c90,GetCockpitTimer,LuaAPI,GetCockpitTimer,regtable+1.5,0x418652,applied
0x503cc0,StartEarthquake,LuaAPI,StartEarthquake,regtable+1.5,0x418667,applied
0x503cf0,UpdateEarthQuake,LuaAPI,UpdateEarthQuake,regtable+1.5,0x41867f,applied
0x503d20,StopEarthquake,LuaAPI,StopEarthquake,regtable+1.5,0x418697,applied
0x503d30,GetPathType,LuaAPI,GetPathType,regtable_reduxonly,,applied
0x503d70,SetPathType,LuaAPI,SetPathType,regtable_reduxonly,,applied
0x503db0,SetPathOneWay,LuaAPI,SetPathOneWay,regtable+1.5,0x4186a4,applied
0x503de0,SetPathRoundTrip,LuaAPI,SetPathRoundTrip,regtable+1.5,0x4186bf,applied
0x503e10,SetPathLoop,LuaAPI,SetPathLoop,regtable+1.5,0x4186da,applied
0x503e40,GetPathPointCount,LuaAPI,GetPathPointCount,regtable_reduxonly,,applied
0x503e80,GetWindingNumber,LuaAPI,GetWindingNumber,regtable_reduxonly,,applied
0x503f80,IsInsideArea,LuaAPI,IsInsideArea,regtable_reduxonly,,applied
0x504070,CanCommand,LuaAPI,CanCommand,regtable+1.5,0x4186f5,applied
0x5040b0,CanBuild,LuaAPI,CanBuild,regtable+1.5,0x41871a,applied
0x5040f0,IsBusy,LuaAPI,IsBusy,regtable+1.5,0x41873f,applied
0x504130,GetCurrentCommand,LuaAPI,GetCurrentCommand,regtable+1.5,0x418764,applied
0x504170,GetCurrentWho,LuaAPI,GetCurrentWho,regtable+1.5,0x418786,applied
0x5041b0,SetIndependence,LuaAPI,SetIndependence,regtable+1.5,0x4187a8,applied
0x5041f0,GetIndependence,LuaAPI,GetIndependence,regtable+1.5,0x4187cf,applied
0x504230,SetCommand,LuaAPI,SetCommand,regtable+1.5,0x41c091,applied
0x504440,Attack,LuaAPI,Attack,regtable+1.5,0x4187f1,applied
0x5044a0,Goto,LuaAPI,Goto,regtable+1.5,0x418827,applied
0x5045d0,Mine,LuaAPI,Mine,regtable+1.5,0x4188d7,applied
0x5046c0,Follow,LuaAPI,Follow,regtable+1.5,0x418971,applied
0x504720,Defend,LuaAPI,Defend,regtable+1.5,0x4189a7,applied
0x504760,Defend2,LuaAPI,Defend2,regtable+1.5,0x4189d0,applied
0x5047c0,Stop,LuaAPI,Stop,regtable+1.5,0x418a06,applied
0x504800,Patrol,LuaAPI,Patrol,regtable+1.5,0x418a2f,applied
0x504860,Retreat,LuaAPI,Retreat,regtable+1.5,0x418a67,applied
0x5048f0,GetIn,LuaAPI,GetIn,regtable+1.5,0x418ac3,applied
0x504950,Pickup,LuaAPI,Pickup,regtable+1.5,0x418af9,applied
0x5049b0,Dropoff,LuaAPI,Dropoff,regtable+1.5,0x418b2f,applied
0x504a70,Build,LuaAPI,Build,regtable+1.5,0x418b9b,applied
0x504ad0,BuildAt,LuaAPI,BuildAt,regtable+1.5,0x418bd3,applied
0x504be0,HasCargo,LuaAPI,HasCargo,regtable+1.5,0x418c87,applied
0x504c20,EjectPilot,LuaAPI,EjectPilot,regtable+1.5,0x418cac,applied
0x504c50,HopOut,LuaAPI,HopOut,regtable+1.5,0x418cc3,applied
0x504c80,KillPilot,LuaAPI,KillPilot,regtable+1.5,0x418cda,applied
0x504cb0,RemovePilot,LuaAPI,RemovePilot,regtable+1.5,0x418cf1,applied
0x504ce0,HoppedOutOf,LuaAPI,HoppedOutOf,regtable+1.5,0x418d08,applied
0x504d20,GetHealth,LuaAPI,GetHealth,regtable+1.5,0x418d29,applied
0x504d60,GetCurHealth,LuaAPI,GetCurHealth,regtable+1.5,0x418d4e,applied
0x504da0,GetMaxHealth,LuaAPI,GetMaxHealth,regtable+1.5,0x418d73,applied
0x504de0,SetCurHealth,LuaAPI,SetCurHealth,regtable+1.5,0x418d98,applied
0x504e30,SetMaxHealth,LuaAPI,SetMaxHealth,regtable+1.5,0x418dc3,applied
0x504e80,AddHealth,LuaAPI,AddHealth,regtable+1.5,0x418dee,applied
0x504ed0,GetAmmo,LuaAPI,GetAmmo,regtable+1.5,0x418e19,applied
0x504f10,GetCurAmmo,LuaAPI,GetCurAmmo,regtable+1.5,0x418e3e,applied
0x504f50,GetMaxAmmo,LuaAPI,GetMaxAmmo,regtable+1.5,0x418e60,applied
0x504f90,SetCurAmmo,LuaAPI,SetCurAmmo,regtable+1.5,0x418e82,applied
0x504fd0,SetMaxAmmo,LuaAPI,SetMaxAmmo,regtable+1.5,0x418ea9,applied
0x505010,AddAmmo,LuaAPI,AddAmmo,regtable+1.5,0x418ed0,applied
0x505050,GetTug,LuaAPI,GetTug,regtable+1.5,0x418ef7,applied
0x505090,CameraReady,LuaAPI,CameraReady,regtable+1.5,0x418f19,applied
0x5050b0,CameraPath,LuaAPI,CameraPath,regtable+1.5,0x418f31,applied
0x505130,CameraPathDir,LuaAPI,CameraPathDir,regtable+1.5,0x418f84,applied
0x5051a0,PanDone,LuaAPI,PanDone,regtable+1.5,0x418fc5,applied
0x5051c0,CameraObject,LuaAPI,CameraObject,regtable+1.5,0x418fdd,applied
0x505250,CameraFinish,LuaAPI,CameraFinish,regtable+1.5,0x41903d,applied
0x505270,CameraCancelled,LuaAPI,CameraCancelled,regtable+1.5,0x419055,applied
0x505290,IsInfo,LuaAPI,IsInfo,regtable+1.5,0x41906d,applied
0x505310,IsNetGame,LuaAPI,IsNetGame,regtable+1.5,0x419094,applied
0x505330,IsHosting,LuaAPI,IsHosting,regtable+1.5,0x4190ac,applied
0x505350,DisplayMessage,LuaAPI,DisplayMessage,regtable+1.5,0x4190c4,applied
0x5060f0,Send,LuaAPI,Send,regtable+1.5,0x419760,applied
0x506310,OpenODF,LuaAPI,OpenODF,regtable+1.5,0x41985e,applied
0x5064d0,GetODFBool,LuaAPI,GetODFBool,regtable+1.5,0x419910,applied
0x5065d0,GetODFInt,LuaAPI,GetODFInt,regtable+1.5,0x4199be,applied
0x5066a0,GetODFFloat,LuaAPI,GetODFFloat,regtable+1.5,0x419a4d,applied
0x506780,GetODFString,LuaAPI,GetODFString,regtable+1.5,0x419aea,applied
0x506870,GetTerrainHeightAndNormal,LuaAPI,GetTerrainHeightAndNormal,regtable+1.5,0x419b87,applied
0x506a40,GetFloorHeightAndNormal,LuaAPI,GetFloorHeightAndNormal,regtable+1.5,0x419c48,applied
0x506e40,GetMissionFilename,LuaAPI,GetMissionFilename,regtable_reduxonly,,applied
0x506e60,GetMapTRNFilename,LuaAPI,GetMapTRNFilename,regtable+1.5,0x419d0a,applied
0x506e80,UseItem,LuaAPI,UseItem,regtable_reduxonly,,applied
0x506ef0,ColorFade,LuaAPI,ColorFade,regtable_reduxonly,,applied
0x506f80,Cloak,LuaAPI,Cloak,regtable_reduxonly,,applied
0x506fb0,Decloak,LuaAPI,Decloak,regtable_reduxonly,,applied
0x506fe0,SetCloaked,LuaAPI,SetCloaked,regtable_reduxonly,,applied
0x507010,SetDecloaked,LuaAPI,SetDecloaked,regtable_reduxonly,,applied
0x507040,IsCloaked,LuaAPI,IsCloaked,regtable_reduxonly,,applied
0x507080,EnableAllCloaking,LuaAPI,EnableAllCloaking,regtable_reduxonly,,applied
0x5070f0,EnableCloaking,LuaAPI,EnableCloaking,regtable_reduxonly,,applied
0x507170,SetName,LuaAPI,SetName,regtable_reduxonly,,applied
0x5071b0,GetNearestUnitOnTeam,LuaAPI,GetNearestUnitOnTeam,regtable_reduxonly,,applied
0x507380,Hunt,LuaAPI,Hunt,regtable_reduxonly,,applied
0x5073c0,PortalOut,LuaAPI,PortalOut,regtable_reduxonly,,applied
0x507410,PortalIn,LuaAPI,PortalIn,regtable_reduxonly,,applied
0x507460,BuildObjectAtPortal,LuaAPI,BuildObjectAtPortal,regtable_reduxonly,,applied
0x5074d0,ActivatePortal,LuaAPI,ActivatePortal,regtable_reduxonly,,applied
0x507530,DeactivatePortal,LuaAPI,DeactivatePortal,regtable_reduxonly,,applied
0x5075a0,Hide,LuaAPI,Hide,regtable_reduxonly,,applied
0x5075d0,UnHide,LuaAPI,UnHide,regtable_reduxonly,,applied
0x507600,IsTouching,LuaAPI,IsTouching,regtable_reduxonly,,applied
0x507680,IsIn,LuaAPI,IsIn,regtable_reduxonly,,applied
0x5076e0,GiveMaxHealth,LuaAPI,GiveMaxHealth,regtable_reduxonly,,applied
0x507720,MakeExplosion,LuaAPI,MakeExplosion,regtable_reduxonly,,applied
0x5077f0,IsRecycledByTeam,LuaAPI,IsRecycledByTeam,regtable_reduxonly,,applied
0x5078d0,IsFollowing,LuaAPI,IsFollowing,regtable_reduxonly,,applied
0x507930,GetCargo,LuaAPI,GetCargo,regtable_reduxonly,,applied
0x5079b0,Formation,LuaAPI,Formation,regtable_reduxonly,,applied
0x507a00,GiveMaxAmmo,LuaAPI,GiveMaxAmmo,regtable_reduxonly,,applied
