api_name,legacy_name,legacy_va,redux_va,source
GetCircularPos,GetCircularPos,0x41774e,0x501a20,regtable+1.5
GetPositionNear,GetPositionNear,0x4177c8,0x501b00,regtable+1.5
GetWhoShotMe,GetWhoShotMe,0x417842,0x501be0,regtable+1.5
GetLastEnemyShot,GetLastEnemyShot,0x417864,0x501c20,regtable+1.5
GetLastFriendShot,GetLastFriendShot,0x417889,0x501c60,regtable+1.5
DefaultAllies,DefaultAllies,0x4178ae,0x501ca0,regtable+1.5
LockAllies,LockAllies,0x4178b6,0x501cb0,regtable+1.5
Ally,Ally,0x4178d5,0x501cf0,regtable+1.5
UnAlly,UnAlly,0x417916,0x501d30,regtable+1.5
IsTeamAllied,IsTeamAllied,0x417957,0x501d70,regtable+1.5
IsAlly,IsAlly,0x4179a2,0x501dd0,regtable+1.5
SetObjectiveOn,SetObjectiveOn,0x417a3d,0x501e30,regtable+1.5
SetObjectiveOff,SetObjectiveOff,0x417a54,0x501e60,regtable+1.5
GetObjectiveName,GetObjectiveName,0x417a94,0x501ed0,regtable+1.5
SetObjectiveName,SetObjectiveName,0x417a6b,0x501e90,regtable+1.5
SetName,,,0x507170,regtable_reduxonly
GetDistance,GetDistance,0x417b1e,0x501fc0,regtable+1.5
IsWithin,IsWithin,0x417bda,0x502100,regtable+1.5
IsTouching,,,0x507600,regtable_reduxonly
GetNearestObject,GetNearestObject,0x417c45,0x502840,regtable+1.5
GetNearestVehicle,GetNearestVehicle,0x417cea,0x502960,regtable+1.5
GetNearestBuilding,GetNearestBuilding,0x417d8f,0x502a80,regtable+1.5
GetNearestEnemy,GetNearestEnemy,0x417e34,0x502ba0,regtable+1.5
GetNearestFriend,,,0x502cc0,regtable_reduxonly
GetNearestUnitOnTeam,,,0x5071b0,regtable_reduxonly
CountUnitsNearObject,CountUnitsNearObject,0x417ed9,0x502de0,regtable+1.5
AllCraft,AllCraft,0x41cdbc,0x502330,regtable+1.5
ObjectsInRange,ObjectsInRange,0x41ceb0,0x502490,regtable+1.5
AllObjects,AllObjects,0x41cd24,0x502240,regtable+1.5
SelectedObjects,SelectedObjects,0x41bfe2,0x502730,regtable+1.5
ObjectiveObjects,ObjectiveObjects,0x41c06f,0x502810,regtable+1.5
GetRidOfSomeScrap,GetRidOfSomeScrap,0x417f34,0x502e70,regtable+1.5
