legacy_name,legacy_namespace,legacy_entry_va,legacy_entry_rva,legacy_signature,redux_current_name,redux_entry_va,redux_entry_rva,redux_signature,score,next_score,margin,confidence,methods,redux_static_prologue,legacy_body_size,redux_body_size,shared_strings,shared_constants,string_score,constant_score,identifier_score,shingle_score,body_size_score,text_size_score,legacy_decomp,redux_decomp,bsim_agreement,combined_confidence,bsim_redux_rva,bsim_redux_va,bsim_target_name,bsim_similarity,bsim_significance,bsim_rank2_rva,bsim_rank2_similarity,bsim_target_fanin
APCClass,APCClass,0x0047e59c,0x0007e59c,"APCClass * __thiscall APCClass(APCClass * this, APCClass * param_1, long64 param_2)",FUN_0045dbb0,0x0045dbb0,0x0005dbb0,undefined FUN_0045dbb0(void),0.6213,0.5628,0.0585,medium,shared_strings;same_string_set;shared_constants;similar_body_size,,445,394,%.8s.odf,0x61 | 0x73,1.0000,1.0000,0.0725,0.0734,0.8854,0.5066,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0047\0047e59c_APCClass_APCClass.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0045dbb0-0045dbb0.c,text_only,text_medium,,,,,,,,0
_Xlen,"std::vector<Attachment_*,std::allocator<Attachment_*>_>",0x0047f58b,0x0007f58b,void __cdecl _Xlen(void),FUN_0083d7b0,0x0083d7b0,0x0043d7b0,undefined FUN_0083d7b0(void),0.4389,0.3783,0.0606,low,shared_strings;same_string_set;same_parameter_count,,72,115,vector<T> too long,,1.0000,0.0000,0.0488,0.0046,0.6261,0.3843,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0047\0047f58b_std_vector_Attachment__std_allocator_Attachment_____Xlen.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0083d7b0-0083d7b0.c,text_only,text_low,,,,,,,,0
Init,AudioMessageMgr,0x0047fc3d,0x0007fc3d,void __thiscall Init(AudioMessageMgr * this),FUN_004380f0,0x004380f0,0x000380f0,undefined FUN_004380f0(void),0.5168,0.0000,0.5168,medium,shared_strings;same_string_set;shared_constants,,768,1081,audio.odf,0xffff,1.0000,0.1250,0.3111,0.0276,0.7105,0.9171,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0047\0047fc3d_AudioMessageMgr_Init.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_004380f0-004380f0.c,text_only,text_medium,,,,,,,,0
SetDSoundRate,Global,0x00480a2c,0x00080a2c,"int __cdecl SetDSoundRate(GAS_MASTER * param_1, ulong param_2)",FUN_0043a680,0x0043a680,0x0003a680,undefined FUN_0043a680(void),0.4328,0.3513,0.0815,low,shared_strings;same_string_set,,113,57,Can\'t set DSound primary buffer rate to %d.,,1.0000,0.0000,0.2258,0.0446,0.5044,0.3535,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0048\00480a2c_SetDSoundRate.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0043a680-0043a680.c,text_only,text_low,,,,,,,,0
StartGAS,Global,0x00480aed,0x00080aed,"int __cdecl StartGAS(HWND__ * param_1, GAS_MASTER * param_2, int param_3)",FUN_0043a6c0,0x0043a6c0,0x0003a6c0,undefined FUN_0043a6c0(void),0.4481,0.0000,0.4481,low,shared_strings;same_string_set,,306,201,Can\'t create DS3D listener. 3D sound disabled | Can\'t create DS3D primary buffer. 3D sound disabled,,1.0000,0.0000,0.1552,0.0388,0.6569,0.4504,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0048\00480aed_StartGAS.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0043a6c0-0043a6c0.c,text_only,text_low,,,,,,,,0
CleanCopies,Global,0x004811fa,0x000811fa,void __cdecl CleanCopies(void),FUN_0043bda0,0x0043bda0,0x0003bda0,undefined FUN_0043bda0(void),0.4818,0.0000,0.4818,low,shared_strings;same_string_set;same_parameter_count,,19,24,AudioSys - minFreeCopies(%d)\n,,1.0000,0.0000,0.1176,0.0455,0.7917,0.4609,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0048\004811fa_CleanCopies.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0043bda0-0043bda0.c,text_only,text_low,,,,,,,,0
BarracksClass,BarracksClass,0x00482823,0x00082823,"BarracksClass * __thiscall BarracksClass(BarracksClass * this, BarracksClass * param_1, long64 param_2)",FUN_00479c40,0x00479c40,0x00079c40,undefined FUN_00479c40(void),0.5817,0.5585,0.0232,medium,shared_strings;same_string_set;shared_constants,,282,421,%.8s.odf,0x61 | 0x6f6c | 0x73,1.0000,0.3333,0.1765,0.1717,0.6698,0.9015,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0048\00482823_BarracksClass_BarracksClass.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00479c40-00479c40.c,text_only,text_medium,,,,,,,,0
Save,Building,0x00482a1b,0x00082a1b,"bool __thiscall Save(Building * this, _iobuf * param_1)",FUN_0047ebf0,0x0047ebf0,0x0007ebf0,undefined FUN_0047ebf0(void),0.4488,0.0000,0.4488,low,shared_strings;same_string_set,,67,148,tempBuilding,,1.0000,0.0000,0.0909,0.0068,0.4527,0.9234,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0048\00482a1b_Building_Save.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0047ebf0-0047ebf0.c,text_only,text_low,,,,,,,,0
ExplodePilot,Craft,0x00488a98,0x00088a98,void __thiscall ExplodePilot(Craft * this),FUN_004ad700,0x004ad700,0x000ad700,undefined FUN_004ad700(void),0.4521,0.0000,0.4521,low,shared_strings;same_string_set;shared_constants,,360,810,squish.wav,0xa,1.0000,0.0588,0.0625,0.0514,0.4444,0.6989,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0048\00488a98_Craft_ExplodePilot.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_004ad700-004ad700.c,text_only,text_low,,,,,,,,0
AbandonPilot,Craft,0x00488db8,0x00088db8,void __thiscall AbandonPilot(Craft * this),FUN_004adf20,0x004adf20,0x000adf20,undefined FUN_004adf20(void),0.5229,0.0000,0.5229,medium,shared_strings;same_string_set;shared_constants,,268,484,jump.wav,0x2c | 0x30 | 0x34 | 0x38 | 0x3c | 0x5,1.0000,0.2609,0.1562,0.0923,0.5537,0.8168,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0048\00488db8_Craft_AbandonPilot.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_004adf20-004adf20.c,text_only,text_medium,,,,,,,,0
