kind,symtype,name,segment,offset,rva
function,2,??_EDirectSound_AudioInterface@@UAEPAXI@Z,1,25808,29904
function,2,?createInstance@DirectSound_TheoraAudioInterfaceFactory@@UAEPAVTheoraAudioInterface@@PAVTheoraVideoClip@@HH@Z,1,27440,31536
function,2,?NotificationThreadProc@DirectSound_AudioInterface@@CGIPAX@Z,1,26880,30976
function,2,?FillBufferWithQuiet@DirectSound_AudioInterface@@AAEXXZ,1,26704,30800
function,2,?insertData@DirectSound_AudioInterface@@UAEXPAMH@Z,1,26080,30176
function,2,??1DirectSound_AudioInterface@@UAE@XZ,1,25856,29952
function,2,??0DirectSound_AudioInterface@@QAE@PAVTheoraVideoClip@@HH@Z,1,25056,29152
function,2,?RestoreBuffer@DirectSound_AudioInterface@@CAJPAUIDirectSoundBuffer@@PA_N@Z,1,24928,29024
function,2,_PlayerDisplayInfo,1,28896,32992
function,2,_CDPlayAudio,1,28032,32128
function,2,_CDStopAudio,1,28000,32096
function,2,_CDInit,1,27744,31840
function,2,_CDInitVolume,1,27552,31648
function,2,_SetCDVolume,1,29760,33856
function,2,_PlayerDone,1,28320,32416
function,2,_PlayerInit,1,28112,32208
function,2,_PlayerState,1,28384,32480
function,2,_PlayerTrack,1,29120,33216
function,2,_PlayerPlayOrPause,1,28640,32736
function,2,_PlayerStop,1,28832,32928
function,2,_PlayerUpdate,1,29008,33104
function,2,_Draw_RadarMesh,1,29952,34048
function,2,_ClampZ,1,29888,33984
function,2,_Init_D3D_Device,1,30464,34560
function,2,_GetCarBBox,1,40640,44736
function,2,_NextCollidable,1,47776,51872
function,2,_CheckEntityCollisions,1,45984,50080
function,2,_DeleteCollisionHandler,1,45824,49920
function,2,_DeleteCollisionEntity,1,45616,49712
function,2,_InitCollisions,1,45136,49232
function,2,_ClearCollision,1,44992,49088
function,2,_preclsn,1,47296,51392
function,2,_Cgeom_Create,1,49488,53584
function,2,_Cgeom_PointTest,1,50160,54256
function,2,_Spinner,1,51504,55600
function,2,_InitEuler,1,50928,55024
function,2,_WorldVelocity,1,51040,55136
function,2,_Floor_GetFloorEx,1,52128,56224
