entry_va,entry_rva,name,legacy_name,pdb_advisory_name,name_source,legacy_namespace,confidence,score,margin,methods,signature,legacy_signature,legacy_entry_rva,shared_strings,redux_decomp,legacy_decomp
4202704,8400,FUN_004020d0,,,,,,,,,undefined FUN_004020d0(void),,,,,
4202720,8416,FUN_004020e0,,,,,,,,,undefined FUN_004020e0(void),,,,,
4202736,8432,FUN_004020f0,,,,,,,,,undefined FUN_004020f0(void),,,,,
4202784,8480,FUN_00402120,,,,,,,,,undefined FUN_00402120(void),,,,,
4202832,8528,FUN_00402150,,,,,,,,,undefined FUN_00402150(void),,,,,
4202880,8576,FUN_00402180,,,,,,,,,undefined FUN_00402180(void),,,,,
4202896,8592,FUN_00402190,,,,,,,,,undefined FUN_00402190(void),,,,,
4202912,8608,FUN_004021a0,,,,,,,,,undefined FUN_004021a0(void),,,,,
4202928,8624,FUN_004021b0,,,,,,,,,undefined FUN_004021b0(void),,,,,
4202944,8640,FUN_004021c0,,,,,,,,,undefined FUN_004021c0(void),,,,,
4202992,8688,FUN_004021f0,,,,,,,,,undefined FUN_004021f0(void),,,,,
4203040,8736,FUN_00402220,,,,,,,,,undefined FUN_00402220(void),,,,,
4203088,8784,FUN_00402250,,,,,,,,,undefined FUN_00402250(void),,,,,
4203104,8800,FUN_00402260,,,,,,,,,undefined FUN_00402260(void),,,,,
4203120,8816,FUN_00402270,,,,,,,,,undefined FUN_00402270(void),,,,,
4203136,8832,FUN_00402280,,,,,,,,,undefined FUN_00402280(void),,,,,
4203152,8848,FUN_00402290,,,,,,,,,undefined FUN_00402290(void),,,,,
4203200,8896,FUN_004022c0,,,,,,,,,undefined FUN_004022c0(void),,,,,
4203248,8944,FUN_004022f0,,,,,,,,,undefined FUN_004022f0(void),,,,,
4203296,8992,FUN_00402320,,,,,,,,,undefined FUN_00402320(void),,,,,
4203312,9008,FUN_00402330,,,,,,,,,undefined FUN_00402330(void),,,,,
4203328,9024,FUN_00402340,,,,,,,,,undefined FUN_00402340(void),,,,,
4203344,9040,FUN_00402350,,,,,,,,,undefined FUN_00402350(void),,,,,
4203360,9056,FUN_00402360,,,,,,,,,undefined FUN_00402360(void),,,,,
4203408,9104,FUN_00402390,,,,,,,,,undefined FUN_00402390(void),,,,,
4203456,9152,FUN_004023c0,,,,,,,,,undefined FUN_004023c0(void),,,,,
