name,kind,size
D3D10_TEX1D_ARRAY_DSV,struct,12
D3D10_TEX1D_ARRAY_RTV,struct,12
D3D10_TEX1D_ARRAY_SRV,struct,16
D3D10_TEX1D_DSV,struct,4
D3D10_TEX1D_RTV,struct,4
D3D10_TEX1D_SRV,struct,8
D3D10_TEX2DMS_ARRAY_DSV,struct,8
D3D10_TEX2DMS_ARRAY_RTV,struct,8
D3D10_TEX2DMS_ARRAY_SRV,struct,8
D3D10_TEX2DMS_DSV,struct,4
D3D10_TEX2DMS_RTV,struct,4
D3D10_TEX2DMS_SRV,struct,4
D3D10_TEX2D_ARRAY_DSV,struct,12
D3D10_TEX2D_ARRAY_RTV,struct,12
D3D10_TEX2D_ARRAY_SRV,struct,16
D3D10_TEX2D_DSV,struct,4
D3D10_TEX2D_RTV,struct,4
D3D10_TEX2D_SRV,struct,8
D3D10_TEX3D_RTV,struct,12
D3D10_TEX3D_SRV,struct,8
D3D10_TEXCUBE_SRV,struct,8
D3D10_TEXTURE1D_DESC,struct,32
D3D10_TEXTURE2D_DESC,struct,44
D3D10_TEXTURE3D_DESC,struct,36
D3D10_VIEWPORT,struct,24
D3D11_BLEND_DESC,struct,264
D3D11_BOX,struct,24
D3D11_BUFFEREX_SRV,struct,12
D3D11_BUFFER_DESC,struct,24
D3D11_BUFFER_RTV,struct,8
D3D11_BUFFER_RTV_u_0,union,4
D3D11_BUFFER_RTV_u_4,union,4
D3D11_BUFFER_SRV,struct,8
D3D11_BUFFER_SRV_u_0,union,4
D3D11_BUFFER_SRV_u_4,union,4
D3D11_BUFFER_UAV,struct,12
D3D11_CLASS_INSTANCE_DESC,struct,32
D3D11_COUNTER_DESC,struct,8
D3D11_COUNTER_INFO,struct,12
D3D11_DEPTH_STENCILOP_DESC,struct,16
D3D11_DEPTH_STENCIL_DESC,struct,52
D3D11_DEPTH_STENCIL_VIEW_DESC,struct,24
D3D11_DEPTH_STENCIL_VIEW_DESC_u_12,union,12
D3D11_INPUT_ELEMENT_DESC,struct,28
D3D11_MAPPED_SUBRESOURCE,struct,12
D3D11_QUERY_DESC,struct,8
D3D11_RASTERIZER_DESC,struct,40
D3D11_RENDER_TARGET_BLEND_DESC,struct,32
D3D11_RENDER_TARGET_VIEW_DESC,struct,20
D3D11_RENDER_TARGET_VIEW_DESC_u_8,union,12
D3D11_SAMPLER_DESC,struct,52
D3D11_SHADER_RESOURCE_VIEW_DESC,struct,24
D3D11_SHADER_RESOURCE_VIEW_DESC_u_8,union,16
D3D11_SO_DECLARATION_ENTRY,struct,16
D3D11_SUBRESOURCE_DATA,struct,12
D3D11_TEX1D_ARRAY_DSV,struct,12
D3D11_TEX1D_ARRAY_RTV,struct,12
D3D11_TEX1D_ARRAY_SRV,struct,16
D3D11_TEX1D_ARRAY_UAV,struct,12
D3D11_TEX1D_DSV,struct,4
D3D11_TEX1D_RTV,struct,4
D3D11_TEX1D_SRV,struct,8
D3D11_TEX1D_UAV,struct,4
D3D11_TEX2DMS_ARRAY_DSV,struct,8
D3D11_TEX2DMS_ARRAY_RTV,struct,8
D3D11_TEX2DMS_ARRAY_SRV,struct,8
D3D11_TEX2DMS_DSV,struct,4
D3D11_TEX2DMS_RTV,struct,4
D3D11_TEX2DMS_SRV,struct,4
D3D11_TEX2D_ARRAY_DSV,struct,12
D3D11_TEX2D_ARRAY_RTV,struct,12
D3D11_TEX2D_ARRAY_SRV,struct,16
D3D11_TEX2D_ARRAY_UAV,struct,12
D3D11_TEX2D_DSV,struct,4
D3D11_TEX2D_RTV,struct,4
D3D11_TEX2D_SRV,struct,8
D3D11_TEX2D_UAV,struct,4
D3D11_TEX3D_RTV,struct,12
D3D11_TEX3D_SRV,struct,8
D3D11_TEX3D_UAV,struct,12
D3D11_TEXCUBE_ARRAY_SRV,struct,16
D3D11_TEXCUBE_SRV,struct,8
D3D11_TEXTURE1D_DESC,struct,32
D3D11_TEXTURE2D_DESC,struct,44
D3D11_TEXTURE3D_DESC,struct,36
D3D11_UNORDERED_ACCESS_VIEW_DESC,struct,20
D3D11_UNORDERED_ACCESS_VIEW_DESC_u_8,union,12
D3D11_VIEWPORT,struct,24
D3DCACHEENTRY,struct,24
D3DEB,struct,56
D3DTLVERTEX,struct,32
D3DX10_IMAGE_INFO,struct,36
D3DX10_IMAGE_LOAD_INFO,struct,52
D3DX11_IMAGE_INFO,struct,36
D3DX11_IMAGE_LOAD_INFO,struct,52
D3DXCOLOR,struct,16
D3DXFLOAT16,struct,2
D3DXMATRIX,struct,64
D3DXPLANE,struct,16
D3DXQUATERNION,struct,16
D3DXVECTOR2,struct,8
D3DXVECTOR2_16F,struct,4
D3DXVECTOR3,struct,12
D3DXVECTOR3_16F,struct,6
D3DXVECTOR4,struct,16
D3DXVECTOR4_16F,struct,8
D3D_CACHE_KEY,union,4
D3D_CACHE_KEY_s_0,struct,4
DAMAGE,struct,16
DAMAGE_PACKET,struct,8
DAMAGE_PACKET.conflict,struct,8
DDEACK,struct,2
DDEADVISE,struct,4
DDEDATA,struct,6
DDELN,struct,4
DDEPOKE,struct,6
DDEUP,struct,6
DDRAW_STUFF,struct,124
DELETE_USN_JOURNAL_DATA,struct,16
DISCRETEMAP,struct,112
DISCRETE_STATE,struct,12
DLGITEMTEMPLATE,struct,18
DLGTEMPLATE,struct,18
DOMDocument,struct,1
DOMFreeThreadedDocument,struct,1
DRVCONFIGINFOEX,struct,16
DWRITE_CLUSTER_METRICS,struct,8
DWRITE_FONT_FEATURE,struct,8
DWRITE_FONT_METRICS,struct,20
DWRITE_GLYPH_METRICS,struct,28
DWRITE_GLYPH_OFFSET,struct,8
DWRITE_GLYPH_RUN,struct,32
DWRITE_GLYPH_RUN_DESCRIPTION,struct,20
DWRITE_HIT_TEST_METRICS,struct,36
DWRITE_INLINE_OBJECT_METRICS,struct,16
DWRITE_LINE_METRICS,struct,24
DWRITE_MATRIX,struct,24
DWRITE_OVERHANG_METRICS,struct,16
DWRITE_STRIKETHROUGH,struct,28
DWRITE_TEXT_METRICS,struct,36
DWRITE_TEXT_RANGE,struct,8
DWRITE_TRIMMING,struct,12
DWRITE_UNDERLINE,struct,32
DXGI_MAPPED_RECT,struct,8
DXGI_SAMPLE_DESC,struct,8
DXGI_SURFACE_DESC,struct,20
DYNAMIC_LIGHT,struct,108
DataHdr,struct,4
DayWrecker,struct,552
DayWreckerClass,struct,376
DayWreckerClass.conflict,struct,384
DefendTask,struct,312
Defense_Map,struct,32
DemoMission,struct,232
DemoMissionClass,struct,8
DemoMission_u_112,union,72
DemoMission_u_112_s_0,struct,72
DemoMission_u_184,union,20
DemoMission_u_184_s_0,struct,20
DemoMission_u_204,union,28
DemoMission_u_204_s_0,struct,28
DemoMission_u_64,union,20
DemoMission_u_64_s_0,struct,20
DemoMission_u_84,union,28
DemoMission_u_84_s_0,struct,28
Disc,struct,208
Dispenser,struct,184
DispenserClass,struct,128
DisplayInterface,struct,8
DisplayViewInfo,struct,8
DistributedObject,struct,128
DotNetPdbInfo,struct,75
DropoffFeature,struct,40
DropoffInfo,struct,8
DumpState,struct,20
DustEffect,struct,65600
DustPuff,struct,32
EDIT_CONTROLS,struct,24
EHExceptionRecord,struct,32
EHParameters,struct,12
ENTITY_LOADER,struct,84
EULER,struct,72
EXPLOSION_GEOMETRY_LOADER,struct,12
EXPLOSION_LOADER,struct,64
EYE_CONTROLS,struct,32
EarthQuake,struct,44
EditTerrain,struct,133428
EmptyMission,struct,64
EmptyMissionClass,struct,8
EngineFlame,struct,4672
EngineSplash,struct,4672
Escort_Goal,struct,88
ExpandingArray<NodeNeighbor>,struct,8
ExpandingArray<_loaded_aip>,struct,8
Explosion,struct,56
ExplosionClass,struct,104
ExplosionDefChunkType,struct,48
ExplosionFeature,struct,40
ExplosionGeoChunkType,struct,12
FACE,struct,64
FACE_NODE,struct,16
FFdate,struct,12
FFversion,struct,12
FIELD_DESC,struct,32
FILENAME,struct,8
FILE_ID_DESCRIPTOR,struct,24
FILE_ID_DESCRIPTOR_u_8,union,16
FILE_REV_INFO,struct,8
FIND_BY_SID_DATA,struct,16
FIND_BY_SID_OUTPUT,struct,16
FLASHWINFO,struct,20
FLAT_EDGE,struct,16
FLOAT2INT,union,8
FLOATINT,union,8
FLOATSIGN,union,4
FONT,struct,524
FSM_CAMERA_RECORD,struct,80
FSM_ENTRY,struct,16
FT,union,8
Face,struct,55
FaceNode,struct,16
Factory,struct,792
FactoryClass,struct,1064
FactoryClass.conflict,struct,1072
FactoryProcess,struct,64
FileData,struct,96
FileIDType,struct,13
FileMap,struct,8
FindSendPoints,struct,32
Fireball,struct,36
FireballEffect,struct,1256
FlagDisplay,struct,60
FlagList,struct,44
Flame,struct,72
FlamePuff,struct,232
FlamePuffClass,struct,128
FlareMine,struct,576
FlareMineClass,struct,392
FollowGroup,struct,32
FollowTask,struct,312
FollowerInfo,struct,8
FormatStringAttribute,struct,8
FrameInfo,struct,20
FuncState,struct,572
GAS_CTRL,struct,44
GAS_MASTER,struct,36
GAS_PREP_INFO,struct,28
GCObject,union,120
GCheader,struct,8
GFCleanupPri,struct,1
GFInitPri,struct,1
