legacy_entry_va	bsim_redux_va	legacy_name	legacy_namespace	combined_confidence	bsim_similarity	bsim_significance	bsim_agreement
0x0045f99e	0x5cb2d0	SetAIP	Global	very_high	0.5257	62.20	exact
0x004b05f4	0x5d15b0	ShieldTowerClass	ShieldTowerClass	very_high	0.7772	17.20	exact
0x004d9e73	0x5d1dd0	PreLoad	ShockWaveEffect	very_high	0.5807	9.03	exact
0x004da9cc	0x5d6240	Init	SniperInterface	very_high	0.6585	35.32	exact
0x0053a2c9	0x5d9e70	SpecialItemClass	SpecialItemClass	very_high	0.7743	17.86	exact
0x0053a555	0x5da1e0	SprayBuildingClass	SprayBuildingClass	very_high	0.7777	17.17	exact
0x0053a4d9	0x5dacf0	SprayBombClass	SprayBombClass	very_high	0.7278	14.89	exact
0x004b1a7e	0x5dd850	SupplyDepotClass	SupplyDepotClass	very_high	0.7698	16.92	exact
0x0053af31	0x5df230	TargetingGunClass	TargetingGunClass	very_high	0.8500	21.53	exact
0x00463c78	0x5e6980	Setup	Tran02Mission	very_high	0.7534	31.04	exact
0x0046535f	0x5eae10	AddObject	Tran05Mission	very_high	0.8681	62.04	exact
0x00465639	0x5eaf60	Execute	Tran05Mission	very_high	0.6347	237.17	exact
0x004b3ba1	0x5f01d0	FindTurret	TurretCraft	very_high	0.5748	33.44	exact
0x004b48e8	0x5f1dd0	TurretCraftClass	TurretCraftClass	very_high	0.7609	16.17	exact
0x004b4a8f	0x5f2130	FindTurret	TurretTank	very_high	0.5777	33.62	exact
0x0046f80a	0x608fe0	Save	UserProcess	very_high	0.6644	24.55	exact
0x004b8a04	0x610030	WalkerClass	WalkerClass	very_high	0.8633	27.15	exact
0x0053f402	0x611aa0	WeaponClass	WeaponClass	very_high	0.5864	74.69	exact
0x004bb425	0x61df70	load_input_device	Global	very_high	0.5314	61.82	exact
0x004bb5bb	0x61e240	get_analog_num	Global	very_high	0.5993	39.62	exact
0x004ba032	0x61e5d0	get_analog_sink	Global	very_high	0.7256	163.96	exact
0x004bb703	0x61ea90	add_analog_channel	Global	very_high	0.5662	57.04	exact
0x004bb811	0x61ec80	read_chord	Global	very_high	0.5203	41.85	exact
0x004bba7c	0x61fb20	read_one_mapping_file	Global	very_high	0.7716	157.68	exact
0x004bc269	0x623620	GetStringFromRegistry	Global	very_high	0.8851	61.34	exact
0x004bd878	0x6239a0	giddi_describe_device	Global	very_high	1.0000	23.14	exact
0x004dc5ab	0x624380	Chat_InputMessage	Global	very_high	0.6031	42.26	exact
0x004dce65	0x625070	updown_callback	Global	high	1.0000	71.75	bsim_only
0x004e2dc6	0x625160	GetUnsignedFromBitfield	Global	high	1.0000	52.13	bsim_only
0x00507196	0x68f8f0	AI_Close	Global	very_high	0.9228	31.33	exact
0x005082a1	0x68f970	AI_Process	Global	very_high	0.6552	34.97	exact
0x005084fc	0x68fe40	AI_BuildingStalled	Global	very_high	0.9116	44.01	exact
0x0050770a	0x690180	AI_SpecialForcesInit	Global	very_high	1.0000	17.62	exact
0x005086bc	0x690270	AI_AIPInit	Global	very_high	1.0000	18.91	exact
0x00507d10	0x690380	AI_AIPSwitch	Global	very_high	0.7372	13.45	exact
0x0050b1e9	0x690c90	AIBuild_ResourceListDump	Global	very_high	0.7284	22.05	exact
0x0050becb	0x6924a0	AIBuild_FindFacilityLocation	Global	very_high	0.6008	38.12	exact
0x0050d0f4	0x693520	AIP_Load_Account	Global	very_high	0.5040	52.44	exact
0x0050d37a	0x693900	AIP_Load_UCP	Global	very_high	0.5862	40.19	exact
