legacy_va,legacy_name,legacy_namespace,redux_rva,redux_va,similarity,significance,rank2_rva,rank2_similarity
0x00496bf5,RemoveAllModes,ModeList,0x2a1a80,0x6a1a80,0.5096,9.98,,
0x0045dea6,SetPilot,Global,0x2d4a20,0x6d4a20,0.5059,9.96,0x3aba40,0.5529
0x0045df01,SetMaxPilot,Global,0x2d4a20,0x6d4a20,0.5059,9.96,0x3aba40,0.5529
0x0045df5c,SetScrap,Global,0x2d4a20,0x6d4a20,0.5059,9.96,0x3aba40,0.5529
0x0045dfb7,SetMaxScrap,Global,0x2d4a20,0x6d4a20,0.5059,9.96,0x3aba40,0.5529
0x0045e518,SetMaxHealth,GameObject,0xa76a0,0x4a76a0,0.5494,9.96,0x1c73f0,0.5494
0x0054340f,Begin_D3D_Scene,Global,0x3c710,0x43c710,0.6223,9.96,0x3c6c0,0.5386
0x0055caae,dpEnumGamePlayersCallback,Global,0x16670,0x416670,0.5153,9.94,0xff770,0.5153
0x00406001,swap<float>,std,0x276d40,0x676d40,0.5233,9.93,0x22dc80,0.5790
0x00406016,swap<char>,std,0x276d40,0x676d40,0.5079,9.93,0x2d5780,0.5916
0x0044ff70,swap<Strip_*>,std,0x276d40,0x676d40,0.5233,9.93,0x22dc80,0.5790
0x00450b20,"iter_swap<Strip_*_*,Strip_*_*>",std,0x276d40,0x676d40,0.5233,9.93,0x22dc80,0.5790
0x00491c8d,swap<GameFeature_*>,std,0x276d40,0x676d40,0.5233,9.93,0x22dc80,0.5790
0x00492080,"iter_swap<GameFeature_*_*,GameFeature_*_*>",std,0x276d40,0x676d40,0.5233,9.93,0x22dc80,0.5790
0x004e3f96,swap<ScorePlayer_*>,std,0x276d40,0x676d40,0.5233,9.93,0x22dc80,0.5790
0x004e43d6,"iter_swap<ScorePlayer_*_*,ScorePlayer_*_*>",std,0x276d40,0x676d40,0.5233,9.93,0x22dc80,0.5790
0x004c1731,Hide,HardPoints,0x43393d,0x83393d,0.5720,9.92,,
0x004c17f7,Hide,BoundingBox,0x43393d,0x83393d,0.5720,9.92,,
0x00550bd0,Init,PlayerList,0x3c6bf0,0x7c6bf0,0.5917,9.90,,
0x005a86d0,fdrffti,Global,0x1e7f0,0x41e7f0,0.5792,9.88,0x267000,0.5075
0x0057057a,HideWindowText,TextWindow,0x17e20,0x417e20,0.5098,9.87,,
0x004c76db,PrintValue,DisplayInterface,0xb6fa0,0x4b6fa0,0.5148,9.86,,
0x004c7741,PrintValue,DisplayInterface,0xb6fa0,0x4b6fa0,0.5148,9.86,,
0x004ed09d,set_obj_loc,Global,0xfefc0,0x4fefc0,0.6471,9.81,,
0x00414b3f,GoGet,GoGet,0x212690,0x612690,0.5578,9.80,0xb0f40,0.5578
0x004824ea,Barracks,Barracks,0x212690,0x612690,0.5578,9.80,0xb0f40,0.5578
0x004acd1e,Recycler,Recycler,0x212690,0x612690,0.5578,9.80,0xb0f40,0.5578
0x004afe64,ShieldTower,ShieldTower,0x212690,0x612690,0.5578,9.80,0xb0f40,0.5578
0x004b06b4,ScrapSilo,ScrapSilo,0x212690,0x612690,0.5578,9.80,0xb0f40,0.5578
0x0053f7cf,WeaponMine,WeaponMine,0x212690,0x612690,0.5578,9.80,0xb0f40,0.5578
0x0055b3ba,Init,SessionList,0x4053c0,0x8053c0,0.5126,9.80,,
0x00415111,HovTooClose,Global,0x42d490,0x82d490,0.5534,9.79,0x42d447,0.5349
0x00415134,StandTooClose,Global,0x42d490,0x82d490,0.5534,9.79,0x42d447,0.5349
0x004151af,FleePlentyFar,Global,0x42d490,0x82d490,0.5534,9.79,0x42d447,0.5349
0x005bf680,math_ceil,Global,0x1007e0,0x5007e0,0.6164,9.78,0x100860,0.6164
