api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
SetPerceivedTeam,0x87c484,0x871cf8,0x500700,0x100700,FUN_00500700,true
SetUserTarget,0x87c4ac,0x871d08,0x500740,0x100740,FUN_00500740,true
GetUserTarget,0x87c4bc,0x871d10,0x500770,0x100770,FUN_00500770,true
SetTarget,0x87c4cc,0x871d18,0x5007a0,0x1007a0,FUN_005007a0,true
GetTarget,0x87c4d8,0x871d20,0x5007e0,0x1007e0,FUN_005007e0,true
SetOwner,0x87c4e4,0x871d28,0x500820,0x100820,FUN_00500820,true
GetOwner,0x87c4f0,0x871d30,0x500860,0x100860,FUN_00500860,true
SetPilotClass,0x87c5f0,0x871d38,0x5008a0,0x1008a0,FUN_005008a0,true
GetPilotClass,0x87c600,0x871d40,0x5008e0,0x1008e0,FUN_005008e0,true
SetPosition,0x87c714,0x871dd0,0x501710,0x101710,FUN_00501710,true
GetPosition,0x87c720,0x871dd8,0x501620,0x101620,FUN_00501620,true
GetFront,0x87c72c,0x871de0,0x501800,0x101800,FUN_00501800,true
SetTransform,0x87c6f4,0x871dc0,0x5015d0,0x1015d0,FUN_005015d0,true
GetTransform,0x87c704,0x871dc8,0x501550,0x101550,FUN_00501550,true
GetVelocity,0x87c744,0x871df0,0x501880,0x101880,FUN_00501880,true
SetVelocity,0x87c738,0x871de8,0x501900,0x101900,FUN_00501900,true
GetOmega,0x87c668,0x871e00,0x501950,0x101950,FUN_00501950,true
SetOmega,0x87c65c,0x871df8,0x5019d0,0x1019d0,FUN_005019d0,true
GetCircularPos,0x87c674,0x871e08,0x501a20,0x101a20,FUN_00501a20,true
GetPositionNear,0x87c684,0x871e10,0x501b00,0x101b00,FUN_00501b00,true
GetWhoShotMe,0x87c694,0x871e18,0x501be0,0x101be0,FUN_00501be0,true
GetLastEnemyShot,0x87c6a4,0x871e20,0x501c20,0x101c20,FUN_00501c20,true
GetLastFriendShot,0x87c6b8,0x871e28,0x501c60,0x101c60,FUN_00501c60,true
DefaultAllies,0x87c6cc,0x871e30,0x501ca0,0x101ca0,FUN_00501ca0,true
LockAllies,0x87c7b4,0x871e38,0x501cb0,0x101cb0,FUN_00501cb0,true
Ally,0x87c7c0,0x871e40,0x501cf0,0x101cf0,FUN_00501cf0,true
UnAlly,0x87c7c8,0x871e48,0x501d30,0x101d30,FUN_00501d30,true
IsTeamAllied,0x87c7d0,0x871e50,0x501d70,0x101d70,FUN_00501d70,true
IsAlly,0x87c7e0,0x871e58,0x501dd0,0x101dd0,FUN_00501dd0,true
SetObjectiveOn,0x87c7e8,0x871e60,0x501e30,0x101e30,FUN_00501e30,true
SetObjectiveOff,0x87c7f8,0x871e68,0x501e60,0x101e60,FUN_00501e60,true
GetObjectiveName,0x87c750,0x871e78,0x501ed0,0x101ed0,FUN_00501ed0,true
SetObjectiveName,0x87c808,0x871e70,0x501e90,0x101e90,FUN_00501e90,true
SetName,0x87ce2c,0x8722c0,0x507170,0x107170,FUN_00507170,true
GetDistance,0x87c784,0x871e98,0x501fc0,0x101fc0,FUN_00501fc0,true
IsWithin,0x87c790,0x871ea0,0x502100,0x102100,FUN_00502100,true
IsTouching,0x87cfd8,0x872328,0x507600,0x107600,FUN_00507600,true
GetNearestObject,0x87c8cc,0x871ed0,0x502840,0x102840,FUN_00502840,true
GetNearestVehicle,0x87c8e0,0x871ed8,0x502960,0x102960,FUN_00502960,true
GetNearestBuilding,0x87c8f4,0x871ee0,0x502a80,0x102a80,FUN_00502a80,true
GetNearestEnemy,0x87c908,0x871ee8,0x502ba0,0x102ba0,FUN_00502ba0,true
GetNearestFriend,0x87c918,0x871ef0,0x502cc0,0x102cc0,FUN_00502cc0,true
GetNearestUnitOnTeam,0x87ce34,0x8722c8,0x5071b0,0x1071b0,FUN_005071b0,true
CountUnitsNearObject,0x87c81c,0x871ef8,0x502de0,0x102de0,FUN_00502de0,true
AllCraft,0x87c7a8,0x871eb0,0x502330,0x102330,FUN_00502330,true
ObjectsInRange,0x87c898,0x871eb8,0x502490,0x102490,FUN_00502490,true
AllObjects,0x87c79c,0x871ea8,0x502240,0x102240,FUN_00502240,true
SelectedObjects,0x87c8a8,0x871ec0,0x502730,0x102730,FUN_00502730,true
ObjectiveObjects,0x87c8b8,0x871ec8,0x502810,0x102810,FUN_00502810,true
GetRidOfSomeScrap,0x87c834,0x871f00,0x502e70,0x102e70,FUN_00502e70,true
ClearScrapAround,0x87c848,0x871f08,0x502ea0,0x102ea0,FUN_00502ea0,true
GetTeamSlot,0x87c27c,0x871c20,0x4ffd30,0xffd30,FUN_004ffd30,true
GetPlayerHandle,0x87c26c,0x871c18,0x4ffcd0,0xffcd0,FUN_004ffcd0,true
GetRecyclerHandle,0x87c288,0x871c28,0x4ffdb0,0xffdb0,FUN_004ffdb0,true
