name,address_va,address_rva,symbol_type,source,namespace
?setSplitPoints@PSSMShadowCameraSetup@Ogre@@QAEXABV?$vector@MV?$STLAllocator@MV?$CategorisedAllocPolicy@$0A@@Ogre@@@Ogre@@@std@@@Z,165,-4194139,Function,IMPORTED,OGREMAIN.DLL
??1PSSMShadowCameraSetup@Ogre@@UAE@XZ,166,-4194138,Function,IMPORTED,OGREMAIN.DLL
??0PSSMShadowCameraSetup@Ogre@@QAE@XZ,167,-4194137,Function,IMPORTED,OGREMAIN.DLL
?getSingleton@MeshManager@Ogre@@SAAAV12@XZ,168,-4194136,Function,IMPORTED,OGREMAIN.DLL
?load@MeshManager@Ogre@@QAE?AV?$SharedPtr@VMesh@Ogre@@@2@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0W4Usage@HardwareBuffer@2@1_N2@Z,169,-4194135,Function,IMPORTED,OGREMAIN.DLL
?NEGATIVE_UNIT_Z@Vector3@Ogre@@2V12@B,170,-4194134,Label,IMPORTED,OGREMAIN.DLL
?hasAnimationState@AnimationStateSet@Ogre@@QBE_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,171,-4194133,Function,IMPORTED,OGREMAIN.DLL
?getAnimationState@AnimationStateSet@Ogre@@QBEPAVAnimationState@2@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,172,-4194132,Function,IMPORTED,OGREMAIN.DLL
?refreshAvailableAnimationState@Entity@Ogre@@QAEXXZ,173,-4194131,Function,IMPORTED,OGREMAIN.DLL
?getAllAnimationStates@Entity@Ogre@@QBEPAVAnimationStateSet@2@XZ,174,-4194130,Function,IMPORTED,OGREMAIN.DLL
?getMesh@Entity@Ogre@@QBEABV?$SharedPtr@VMesh@Ogre@@@2@XZ,175,-4194129,Function,IMPORTED,OGREMAIN.DLL
?getName@Node@Ogre@@QBEABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,176,-4194128,Function,IMPORTED,OGREMAIN.DLL
?_setBoundingSphereRadius@Mesh@Ogre@@QAEXM@Z,177,-4194127,Function,IMPORTED,OGREMAIN.DLL
?_setBounds@Mesh@Ogre@@QAEXABVAxisAlignedBox@2@_N@Z,178,-4194126,Function,IMPORTED,OGREMAIN.DLL
?setShadowFarDistance@Light@Ogre@@QAEXM@Z,179,-4194125,Function,IMPORTED,OGREMAIN.DLL
?setDirection@Light@Ogre@@QAEXABVVector3@2@@Z,180,-4194124,Function,IMPORTED,OGREMAIN.DLL
?setPosition@Light@Ogre@@QAEXABVVector3@2@@Z,181,-4194123,Function,IMPORTED,OGREMAIN.DLL
?setSpecularColour@Light@Ogre@@QAEXABVColourValue@2@@Z,182,-4194122,Function,IMPORTED,OGREMAIN.DLL
?setDiffuseColour@Light@Ogre@@QAEXABVColourValue@2@@Z,183,-4194121,Function,IMPORTED,OGREMAIN.DLL
?logMessage@Log@Ogre@@QAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@W4LogMessageLevel@2@_N@Z,184,-4194120,Function,IMPORTED,OGREMAIN.DLL
??DQuaternion@Ogre@@QBE?AV01@ABV01@@Z,185,-4194119,Function,IMPORTED,OGREMAIN.DLL
??DQuaternion@Ogre@@QBE?AVVector3@1@ABV21@@Z,186,-4194118,Function,IMPORTED,OGREMAIN.DLL
?getReceivesShadows@MovableObject@Ogre@@QAE_NXZ,187,-4194117,Function,IMPORTED,OGREMAIN.DLL
?setOrientation@Camera@Ogre@@QAEXABVQuaternion@2@@Z,188,-4194116,Function,IMPORTED,OGREMAIN.DLL
?pitch@Camera@Ogre@@QAEXABVRadian@2@@Z,189,-4194115,Function,IMPORTED,OGREMAIN.DLL
?yaw@Camera@Ogre@@QAEXABVRadian@2@@Z,190,-4194114,Function,IMPORTED,OGREMAIN.DLL
?roll@Camera@Ogre@@QAEXABVRadian@2@@Z,191,-4194113,Function,IMPORTED,OGREMAIN.DLL
?setFog@SceneManager@Ogre@@QAEXW4FogMode@2@ABVColourValue@2@MMM@Z,192,-4194112,Function,IMPORTED,OGREMAIN.DLL
?setAmbientLight@SceneManager@Ogre@@QAEXABVColourValue@2@@Z,193,-4194111,Function,IMPORTED,OGREMAIN.DLL
?UNIT_X@Vector3@Ogre@@2V12@B,194,-4194110,Label,IMPORTED,OGREMAIN.DLL
?getAutoCreatedWindow@Root@Ogre@@QAEPAVRenderWindow@2@XZ,195,-4194109,Function,IMPORTED,OGREMAIN.DLL
?renderOneFrame@Root@Ogre@@QAE_NXZ,196,-4194108,Function,IMPORTED,OGREMAIN.DLL
