path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,output,sha256_16,note
C:\Program Files (x86)\Battlezone\stockfiles\misn18.hgt,misn18.hgt,262144,2x4,trn-dir,131072,0,4095,3938,91597,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn18.hg2,f73446276cf78539,
C:\Program Files (x86)\Battlezone\stockfiles\misns1.hgt,misns1.hgt,524288,4x4,trn-dir,262144,56,4095,4036,215035,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misns1.hg2,2456f3554da08b2d,
C:\Program Files (x86)\Battlezone\stockfiles\misns2.hgt,misns2.hgt,524288,4x4,trn-dir,262144,33,2713,2502,155133,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misns2.hg2,3a57f9d680000301,
C:\Program Files (x86)\Battlezone\stockfiles\misns3.hgt,misns3.hgt,524288,4x4,trn-dir,262144,50,2115,1664,248905,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misns3.hg2,17fef170b050b119,
C:\Program Files (x86)\Battlezone\stockfiles\misns4.hgt,misns4.hgt,524288,4x4,trn-dir,262144,0,1402,946,257451,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misns4.hg2,41ace94274155eeb,
C:\Program Files (x86)\Battlezone\stockfiles\misns5.hgt,misns5.hgt,524288,4x4,trn-dir,262144,0,1328,756,259541,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misns5.hg2,8794793f9d7baaf5,
C:\Program Files (x86)\Battlezone\stockfiles\misns6.hgt,misns6.hgt,524288,4x4,trn-dir,262144,0,1676,1315,239859,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misns6.hg2,11fe0ff10ae9910d,
C:\Program Files (x86)\Battlezone\stockfiles\misns7.hgt,misns7.hgt,524288,4x4,trn-dir,262144,50,1642,1011,224890,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misns7.hg2,d74b03da3ef9300b,
C:\Program Files (x86)\Battlezone\stockfiles\misns8.hgt,misns8.hgt,524288,4x4,trn-dir,262144,50,1821,1039,226510,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misns8.hg2,7bc7ca5e624a84de,
C:\Program Files (x86)\Battlezone\stockfiles\mp.hgt,mp.hgt,524288,4x4,trn-dir,262144,0,1951,1740,232197,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\mp.hg2,a3ab9e1fb0489d67,
C:\Program Files (x86)\Battlezone\stockfiles\mult01.hgt,mult01.hgt,524288,4x4,trn-dir,262144,0,1648,915,258263,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\mult01.hg2,5d99b6421989375c,
C:\Program Files (x86)\Battlezone\stockfiles\mult03.hgt,mult03.hgt,524288,4x4,trn-dir,262144,0,1400,806,256334,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\mult03.hg2,59062efd73dded5e,
C:\Program Files (x86)\Battlezone\stockfiles\mult04.hgt,mult04.hgt,524288,4x4,trn-dir,262144,0,1853,1173,254442,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\mult04.hg2,bed131c012316756,
C:\Program Files (x86)\Battlezone\stockfiles\multdm05.hgt,multdm05.hgt,524288,4x4,trn-dir,262144,0,4095,3930,257771,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm05.hg2,386be265a3072dd6,
C:\Program Files (x86)\Battlezone\stockfiles\multdm11.hgt,multdm11.hgt,32768,1x1,trn-dir,16384,0,674,626,12826,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm11.hg2,da0f3e5fe0f4da99,
C:\Program Files (x86)\Battlezone\stockfiles\multdm12.hgt,multdm12.hgt,32768,1x1,trn-dir,16384,0,1419,1126,7455,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm12.hg2,81505913cefb2019,
C:\Program Files (x86)\Battlezone\stockfiles\multdm13.hgt,multdm13.hgt,32768,1x1,trn-dir,16384,0,1425,449,12621,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm13.hg2,127b98167c902e34,
C:\Program Files (x86)\Battlezone\stockfiles\multdm14.hgt,multdm14.hgt,131072,2x2,trn-dir,65536,0,1890,1020,56650,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm14.hg2,a5b11fc0a5256c61,
C:\Program Files (x86)\Battlezone\stockfiles\multdm15.hgt,multdm15.hgt,131072,2x2,trn-dir,65536,0,1077,890,58852,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm15.hg2,5e2f6f311dac5c95,
