path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,sha256_16,note
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn22.HGT,ianmsn22.HGT,524288,4x4,trn,262144,0,2103,1939,226413,0,parsed,519ed8d1204350d1,
C:\Program Files (x86)\Battlezone\stockfiles\inst01.hgt,inst01.hgt,524288,4x4,inferred,262144,0,1836,1325,252660,1,parsed,1dc89e4f1bf7de6d,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\inst01.hgt,inst01.hgt,524288,4x4,trn,262144,0,1836,1325,252660,0,parsed,1dc89e4f1bf7de6d,
C:\Program Files (x86)\Battlezone\addon\custom_maps\JDStMnW1_MoonWar\JDStMnW1.hgt,JDStMnW1.hgt,32768,1x1,trn,16384,34,947,483,14150,0,parsed,c95b33997ddfd47d,
C:\Program Files (x86)\Battlezone\addon\custom_maps\magarena\magarena.HGT,magarena.HGT,32768,1x1,trn,16384,54,840,93,14252,0,parsed,ad0c241980f253ca,
C:\Program Files (x86)\Battlezone\addon\custom_maps\The Rude Sandstorm\important files\map.hgt,map.hgt,0,,,,,,,,,unparsed,e3b0c44298fc1c14,map.hgt: empty file
C:\Program Files (x86)\Battlezone\addon\custom_maps\MARTIANS\Martians.HGT,Martians.HGT,32768,1x1,trn,16384,0,1099,393,14678,0,parsed,bcf2f48f686912be,
C:\Program Files (x86)\Battlezone\addon\custom_maps\mgullies_Gullies\mgullies.HGT,mgullies.HGT,131072,2x2,trn,65536,0,1645,924,50761,0,parsed,769b422c8e8bf198,
C:\Program Files (x86)\Battlezone\stockfiles\misn01.hgt,misn01.hgt,131072,2x2,inferred,65536,0,1467,1319,53972,1,parsed,f2d1b1b6ab6ecaf2,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn01.hgt,misn01.hgt,131072,2x2,trn,65536,0,1467,1319,53972,0,parsed,f2d1b1b6ab6ecaf2,
C:\Program Files (x86)\Battlezone\stockfiles\misn02.hgt,misn02.hgt,294912,3x3,inferred,147456,0,1422,742,140735,1,parsed,01781b461fa85711,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn02.hgt,misn02.hgt,294912,3x3,trn,147456,0,1422,742,140735,0,parsed,01781b461fa85711,
C:\Program Files (x86)\Battlezone\stockfiles\misn02b.hgt,misn02b.hgt,294912,3x3,inferred,147456,0,1422,731,140817,1,parsed,002b4c66e02f3eb0,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn02b.hgt,misn02b.hgt,294912,3x3,trn,147456,0,1422,731,140817,0,parsed,002b4c66e02f3eb0,
C:\Program Files (x86)\Battlezone\stockfiles\misn03.hgt,misn03.hgt,131072,2x2,inferred,65536,0,939,860,46015,1,parsed,b6d93de3146a2a33,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn03.hgt,misn03.hgt,131072,2x2,trn,65536,0,939,860,46015,0,parsed,b6d93de3146a2a33,
C:\Program Files (x86)\Battlezone\stockfiles\misn04.hgt,misn04.hgt,393216,3x4,inferred,196608,0,2667,2196,117622,1,parsed,a0e234a06a86699a,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn04.hgt,misn04.hgt,393216,4x3,trn,196608,0,2667,2196,117622,0,parsed,a0e234a06a86699a,
C:\Program Files (x86)\Battlezone\stockfiles\misn05.hgt,misn05.hgt,294912,3x3,inferred,147456,0,2396,2199,121186,1,parsed,a7d3d5662cd4ab3a,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn05.hgt,misn05.hgt,294912,3x3,trn,147456,0,2396,2199,121186,0,parsed,a7d3d5662cd4ab3a,
C:\Program Files (x86)\Battlezone\stockfiles\misn06.hgt,misn06.hgt,524288,4x4,inferred,262144,0,2101,1797,212145,1,parsed,a6e19c21c54e1daa,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn06.hgt,misn06.hgt,524288,4x4,trn,262144,0,2101,1797,212145,0,parsed,a6e19c21c54e1daa,
C:\Program Files (x86)\Battlezone\stockfiles\misn07.hgt,misn07.hgt,524288,4x4,inferred,262144,9,1824,1606,180082,1,parsed,e8dce33a172175c9,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn07.hgt,misn07.hgt,524288,4x4,trn,262144,9,1824,1606,180082,0,parsed,e8dce33a172175c9,
C:\Program Files (x86)\Battlezone\stockfiles\misn08.hgt,misn08.hgt,524288,4x4,inferred,262144,0,2860,2132,216202,1,parsed,835639bc0a54b43f,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn08.hgt,misn08.hgt,524288,4x4,trn,262144,0,2860,2132,216202,0,parsed,835639bc0a54b43f,
C:\Program Files (x86)\Battlezone\stockfiles\misn09.hgt,misn09.hgt,524288,4x4,inferred,262144,0,2271,2008,203222,1,parsed,bf140fb62d816fa5,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn09.hgt,misn09.hgt,524288,4x4,trn,262144,0,2271,2008,203222,0,parsed,bf140fb62d816fa5,
C:\Program Files (x86)\Battlezone\stockfiles\misn10.hgt,misn10.hgt,524288,4x4,inferred,262144,0,1626,1187,240981,1,parsed,fb01e1b6a549ab8a,
