name,address_va,address_rva,symbol_type,source,namespace
operator_new,200,-4194104,Function,IMPORTED,OGREMAIN.DLL::Ogre::AllocatedObject<class_Ogre::CategorisedAllocPolicy<3>_>
getUseSimpleOptimalAdjust,201,-4194103,Function,IMPORTED,OGREMAIN.DLL::Ogre::LiSPSMShadowCameraSetup
setUseSimpleOptimalAdjust,202,-4194102,Function,IMPORTED,OGREMAIN.DLL::Ogre::LiSPSMShadowCameraSetup
setOptimalAdjustFactor,203,-4194101,Function,IMPORTED,OGREMAIN.DLL::Ogre::LiSPSMShadowCameraSetup
setUseAggressiveFocusRegion,204,-4194100,Function,IMPORTED,OGREMAIN.DLL::Ogre::FocusedShadowCameraSetup
getSubMeshIterator,205,-4194099,Function,IMPORTED,OGREMAIN.DLL::Ogre::Mesh
getCreator,206,-4194098,Function,IMPORTED,OGREMAIN.DLL::Ogre::SceneNode
setMaterialScheme,207,-4194097,Function,IMPORTED,OGREMAIN.DLL::Ogre::Viewport
setShadowTextureCountPerLightType,208,-4194096,Function,IMPORTED,OGREMAIN.DLL::Ogre::SceneManager
setLoop,209,-4194095,Function,IMPORTED,OGREMAIN.DLL::Ogre::AnimationState
setShadowFarClipDistance,210,-4194094,Function,IMPORTED,OGREMAIN.DLL::Ogre::Light
setShadowNearClipDistance,211,-4194093,Function,IMPORTED,OGREMAIN.DLL::Ogre::Light
getSkeleton,212,-4194092,Function,IMPORTED,OGREMAIN.DLL::Ogre::Entity
scale,213,-4194091,Function,IMPORTED,OGREMAIN.DLL::Ogre::AxisAlignedBox
AxisAlignedBox,214,-4194090,Function,IMPORTED,OGREMAIN.DLL::Ogre::AxisAlignedBox
Matrix3,215,-4194089,Function,IMPORTED,OGREMAIN.DLL::Ogre::Matrix3
Vector3,216,-4194088,Function,IMPORTED,OGREMAIN.DLL::Ogre::Vector3
operator=,217,-4194087,Function,IMPORTED,OGREMAIN.DLL::Ogre::Quaternion
Quaternion,218,-4194086,Function,IMPORTED,OGREMAIN.DLL::Ogre::Quaternion
Quaternion,219,-4194085,Function,IMPORTED,OGREMAIN.DLL::Ogre::Quaternion
